"partid","R","H","CV"
64206701,0.4,0.82,0.42
64207301,0.62,0.44,0.6
64207801,0.34,0.8,0.38
64207901,0.5,0.8,0.28
64209301,0.44,0.78,0.34
64211001,0.52,0.74,0.34
64212701,0.48,0.88,0.32
65000201,0.52,0.88,0.34
65000301,0.56,0.84,0.32
65000501,0.5,0.62,0.46
65000601,0.48,0.7,0.42
65000701,0.52,0.64,0.38
65000801,0.54,0.8,0.36
65000901,0.48,0.82,0.34
65001001,0.54,0.8,0.32
65001101,0.48,0.86,0.34
65001201,0.46,0.7,0.34
65001301,0.4,0.82,0.34
65001401,0.42,0.78,0.36
65001501,0.54,0.8,0.34
65001601,0.52,0.9,0.36
65001701,0.48,0.84,0.36
65001801,0.42,0.86,0.38
65001901,0.4,0.76,0.38
65002001,0.4,0.88,0.4
65002101,0.54,0.78,0.48
65002201,0.52,0.86,0.36
65002301,0.6,0.72,0.4
65002401,0.5,0.82,0.3
65002501,0.5,0.88,0.34
65002601,0.6,0.32,0.76
65002701,0.44,0.74,0.38
65002801,0.5,0.82,0.4
65002901,0.46,0.76,0.36
65003001,0.36,0.62,0.44
65003101,0.44,0.7,0.38
65003201,0.44,0.72,0.5
65003301,0.32,0.76,0.44
65003401,0.48,0.92,0.32
65003501,0.42,0.82,0.34
65003601,0.42,0.78,0.34
65003701,0.42,0.82,0.42
65003801,0.44,0.86,0.4
65003901,0.46,0.6,0.56
65004001,0.46,0.84,0.4
65004101,0.58,0.68,0.46
65004201,0.52,0.72,0.38
65004301,0.44,0.76,0.42
65004401,0.38,0.68,0.4
65004501,0.66,0.62,0.24
65004601,0.42,0.78,0.38
65004701,0.46,0.9,0.36
65004801,0.48,0.74,0.36
65004901,0.52,0.84,0.3
65005001,0.42,0.74,0.32
65005101,0.52,0.86,0.32
65005201,0.44,0.68,0.42
65005301,0.48,0.86,0.22
65005401,0.48,0.86,0.34
65005501,0.62,0.74,0.42
65005601,0.56,0.88,0.3
65005701,0.52,0.64,0.4
65005801,0.48,0.74,0.42
65005901,0.5,0.62,0.48
65006001,0.4,0.74,0.3
65006101,0.52,0.9,0.34
65006201,0.38,0.44,0.62
65006301,0.38,0.46,0.52
65006401,0.5,0.8,0.4
65006501,0.5,0.76,0.28
65006601,0.5,0.72,0.36
65006701,0.46,0.8,0.46
65006801,0.5,0.84,0.3
65006901,0.46,0.72,0.42
65007001,0.52,0.84,0.3
65007101,0.38,0.82,0.3
65007201,0.56,0.72,0.48
65007301,0.38,0.72,0.46
65007401,0.54,0.86,0.3
65007501,0.52,0.76,0.44
65007601,0.38,0.62,0.5
65007701,0.52,0.8,0.3
65007801,0.54,0.74,0.36
65007901,0.5,0.76,0.36
65008001,0.6,0.84,0.3
65008101,0.44,0.72,0.36
65008201,0.38,0.84,0.32
65008301,0.74,0.34,0.64
65008401,0.38,0.86,0.3
65008501,0.42,0.78,0.38
65008601,0.48,0.9,0.34
65008701,0.54,0.78,0.36
65008901,0.52,0.58,0.48
65009001,0.38,0.82,0.3
65009101,0.48,0.7,0.38
65009201,0.48,0.8,0.34
65009301,0.56,0.5,0.68
65009401,0.52,0.82,0.34
65009501,0.44,0.72,0.4
65009601,0.48,0.84,0.36
65009701,0.38,0.84,0.4
65009801,0.52,0.82,0.32
65009901,0.5,0.66,0.42
65010001,0.44,0.46,0.56
65010101,0.48,0.74,0.44
65010201,0.44,0.8,0.36
65010301,0.5,0.76,0.28
65010401,0.46,0.84,0.3
65010601,0.5,0.76,0.38
65011001,0.48,0.8,0.42
65011101,0.44,0.8,0.3
65011201,0.4,0.74,0.42
65011301,0.52,0.88,0.26
65011401,0.46,0.76,0.34
65011501,0.52,0.84,0.26
65011601,0.4,0.86,0.42
65011701,0.54,0.66,0.28
65011801,0.44,0.88,0.36
65011901,0.44,0.7,0.46
65012001,0.46,0.52,0.6
65012101,0.44,0.74,0.42
65012201,0.48,0.74,0.48
65012301,0.32,0.66,0.42
65012401,0.54,0.72,0.36
65012501,0.48,0.78,0.42
65012601,0.42,0.68,0.36
65012701,0.44,0.66,0.36
65012801,0.48,0.68,0.36
65012901,0.44,0.84,0.36
65013001,0.48,0.8,0.44
65013101,0.44,0.8,0.26
65013201,0.44,0.48,0.7
65013301,0.52,0.72,0.22
65013401,0.4,0.82,0.34
65013501,0.46,0.72,0.4
65013601,0.42,0.68,0.46
65013701,0.46,0.8,0.36
65013801,0.36,0.76,0.4
65013901,0.46,0.84,0.36
65014001,0.46,0.7,0.34
65014101,0.62,0.74,0.42
65014201,0.62,0.68,0.42
65014401,0.38,0.8,0.4
65014501,0.42,0.42,0.38
65014601,0.38,0.76,0.4
65014701,0.52,0.82,0.34
65014801,0.48,0.88,0.32
65014901,0.52,0.72,0.42
65015401,0.36,0.74,0.38
65015501,0.3,0.66,0.42
65015601,0.38,0.86,0.34
65015801,0.46,0.76,0.36
65015901,0.44,0.68,0.36
65016001,0.48,0.6,0.42
65016101,0.58,0.78,0.34
65016201,0.44,0.8,0.36
65016301,0.4,0.76,0.38
65016401,0.46,0.82,0.3
65016501,0.54,0.74,0.4
65016601,0.46,0.76,0.42
65016701,0.46,0.86,0.22
65016801,0.5,0.84,0.38
65016901,0.52,0.82,0.38
65017001,0.54,0.96,0.24
65017101,0.44,0.64,0.38
65017201,0.5,0.86,0.34
65017301,0.5,0.84,0.32
65017401,0.54,0.9,0.3
65017501,0.42,0.84,0.46
65017601,0.44,0.62,0.42
65017701,0.46,0.82,0.34
65017801,0.52,0.84,0.32
65017901,0.48,0.78,0.32
65018001,0.44,0.78,0.34
65018101,0.44,0.78,0.34
65018201,0.5,0.72,0.34
65018301,0.48,0.86,0.34
65018401,0.52,0.4,0.7
65018501,0.54,0.5,0.64
65018601,0.52,0.54,0.3
65018701,0.44,0.74,0.38
65018801,0.58,0.74,0.32
65018901,0.42,0.88,0.24
65019001,0.4,0.74,0.38
65019101,0.66,0.16,0.82
65019201,0.42,0.7,0.3
65019301,0.48,0.62,0.5
65019401,0.5,0.62,0.4
65019501,0.56,0.76,0.4
65019601,0.46,0.68,0.48
65019701,0.36,0.7,0.38
65019801,0.48,0.72,0.4
65019901,0.52,0.94,0.26
65020001,0.44,0.76,0.44
65020101,0.3,0.78,0.38
65020201,0.48,0.74,0.44
65020301,0.24,0.34,0.68
65020401,0.44,0.9,0.3
65020501,0.42,0.74,0.48
65020601,0.58,0.78,0.48
65020701,0.4,0.78,0.4
65020801,0.46,0.64,0.56
65020901,0.44,0.66,0.42
65021001,0.38,0.74,0.36
65021101,0.44,0.86,0.3
65021201,0.54,0.8,0.42
65021301,0.54,0.74,0.44
65021401,0.48,0.8,0.32
65021501,0.42,0.72,0.4
65021601,0.5,0.52,0.48
65021701,0.42,0.64,0.46
65021801,0.4,0.76,0.28
65022001,0.54,0.8,0.38
65022101,0.42,0.76,0.42
65022201,0.46,0.86,0.32
65022301,0.42,0.76,0.32
65022401,0.56,0.48,0.64
65022501,0.54,0.72,0.38
65022601,0.52,0.68,0.46
65022701,0.4,0.76,0.36
65022801,0.48,0.74,0.34
65022901,0.48,0.7,0.5
65023001,0.6,0.64,0.42
65023101,0.5,0.88,0.28
65023201,0.46,0.72,0.48
65023301,0.44,0.82,0.3
65023401,0.56,0.72,0.38
65023501,0.44,0.82,0.34
65023601,0.46,0.7,0.3
65023701,0.54,0.76,0.32
65023801,0.5,0.7,0.38
65023901,0.48,0.76,0.28
65024001,0.42,0.82,0.34
65024101,0.48,0.66,0.32
65024201,0.44,0.72,0.4
65024301,0.42,0.86,0.38
65024401,0.36,0.74,0.48
65024501,0.36,0.7,0.3
65024601,0.56,0.68,0.46
65024701,0.44,0.94,0.34
65024801,0.56,0.88,0.28
65024901,0.44,0.76,0.38
65025001,0.52,0.8,0.32
65025101,0.48,0.94,0.3
65025201,0.52,0.48,0.7
65025301,0.44,0.74,0.3
65025401,0.44,0.82,0.34
65025601,0.48,0.78,0.26
65025701,0.36,0.62,0.42
65025801,0.62,0.6,0.44
65025901,0.48,0.74,0.46
