"vps","partid","CheckVps","R","CheckHolt","SwitchAll","SwitchH","SwitchL","SwitchLH","SwitchLL","SwitchGH","SwitchGL","SwitchPH","SwitchPL","R_all","CheckGamb","swp","MPLr"
822,65045501,0,3,0,14.166667,15,13.333333,10,5,20,25,15,10,0.51785714,0,8,2
823,65045601,0,3,0,19.166667,25,13.333333,15,5,30,20,30,15,0.41071429,0,8,2
824,65045701,0,5,0,11.666667,15,8.3333333,10,0,25,15,10,10,0.57142857,0,6,4
826,65045801,0,4,0,14.166667,25,3.3333333,10,-5,30,10,35,5,0.51785714,0,7,3
828,65045901,0,4,0,10,15,5,10,5,25,10,10,0,0.60714286,0,7,3
830,65046001,0,6,2,18.75,30.833333,6.6666667,10,5,57.5,10,25,5,0.48214286,3,3,7
831,65046101,0,5,1,9.5833333,12.5,6.6666667,2.5,5,15,10,20,5,0.625,3,1,9
832,65046201,0,2,2,28.333333,43.333333,13.333333,10,5,70,25,50,10,0.21428571,0,5,5
834,65046301,0,9,0,10.416667,13.333333,7.5,7.5,5,32.5,17.5,0,0,0.57142857,3,2,8
836,65046401,0,2,0,15.833333,21.666667,10,10,0,30,20,25,10,0.48214286,0,9,1
838,65046601,0,7,0,5.8333333,6.6666667,5,5,0,5,5,10,10,0.69642857,0,4,6
840,65046701,0,4,2,38.333333,48.333333,28.333333,25,15,70,45,50,25,0,1,2,8
841,65046801,0,5,0,11.666667,15,8.3333333,5,5,25,10,15,10,0.57142857,0,6,4
843,65046901,0,5,0,21.666667,30,13.333333,15,0,45,25,30,15,0.35714286,0,6,4
845,65047001,0,6,0,7.5,10,5,5,5,15,5,10,5,0.66071429,0,5,5
847,65047101,0,4,0,15,18.333333,11.666667,10,5,25,15,20,15,0.5,0,7,3
849,65047201,0,1,0,5.8333333,6.6666667,5,-5,5,15,10,10,0,0.69642857,0,10,0
851,65047301,0,4,0,11.666667,18.333333,5,10,0,25,10,20,5,0.57142857,0,7,3
852,65047401,0,4,0,9.1666667,11.666667,6.6666667,10,0,5,10,20,10,0.625,0,7,3
853,65047501,0,4,0,20.833333,28.333333,13.333333,15,5,40,25,30,10,0.33928571,3,7,3
854,65047601,0,6,0,-3.3333333,-5,-1.6666667,-10,-10,-10,0,5,5,0.89285714,2,5,5
855,65047701,0,3,0,19.166667,26.666667,11.666667,15,5,40,25,25,5,0.41071429,0,8,2
856,65047901,0,0,1,30,44.166667,15.833333,20,2.5,62.5,40,50,5,0.19642857,3,NA,NA
858,65048001,0,6,0,4.1666667,5,3.3333333,5,5,5,5,5,0,0.73214286,0,5,5
859,65048101,0,6,0,18.333333,26.666667,10,15,5,45,15,20,10,0.42857143,0,5,5
861,65048201,0,6,0,21.666667,28.333333,15,15,5,40,25,30,15,0.35714286,0,5,5
862,65048301,0,6,0,10,11.666667,8.3333333,5,5,15,15,15,5,0.60714286,0,5,5
864,65048401,0,5,0,10,25,-5,10,5,40,-10,25,-10,0.58928571,2,6,4
865,65048501,0,6,0,10,13.333333,6.6666667,10,5,15,10,15,5,0.60714286,0,5,5
867,65048601,0,6,0,3.75,11.666667,-4.1666667,2.5,-10,15,-2.5,17.5,0,0.82142857,3,5,5
868,65048701,0,6,0,6.6666667,10,3.3333333,0,0,15,5,15,5,0.67857143,0,5,5
870,65048801,0,5,0,14.166667,18.333333,10,15,5,20,10,20,15,0.51785714,0,6,4
872,65048901,0,3,0,20.833333,28.333333,13.333333,15,5,40,25,30,10,0.375,0,8,2
874,65049001,0,5,0,5.8333333,6.6666667,5,5,5,15,10,0,0,0.69642857,0,6,4
876,65049101,0,4,0,22.5,28.333333,16.666667,15,10,30,20,40,20,0.33928571,0,7,3
878,65049301,0,4,0,3.3333333,5,1.6666667,10,0,-10,0,15,5,0.75,2,7,3
880,65049401,0,5,0,18.333333,25,11.666667,10,5,30,20,35,10,0.42857143,0,6,4
882,65049501,0,2,0,28.333333,35,21.666667,20,5,55,45,30,15,0.21428571,0,9,1
884,65049601,0,9,0,12.5,20,5,25,0,15,10,20,5,0.55357143,0,2,8
885,65049701,0,4,0,20,26.666667,13.333333,10,5,40,20,30,15,0.39285714,0,7,3
886,65049801,0,5,0,9.1666667,11.666667,6.6666667,10,5,25,15,0,0,0.625,0,6,4
887,65049901,0,5,0,22.5,31.666667,13.333333,10,0,55,30,30,10,0.33928571,0,6,4
888,65050001,0,5,0,15.833333,21.666667,10,15,0,25,20,25,10,0.48214286,0,6,4
890,65050101,0,4,0,21.666667,26.666667,16.666667,15,10,40,30,25,10,0.35714286,0,7,3
892,65050301,0,3,0,18.333333,26.666667,10,10,5,45,20,25,5,0.42857143,0,8,2
