bibkey,paper,task,subject,age,gender,choice,r,country
Amador2021,Amador Hidalgo et al. 2021,HL,230,19,0,4,0.46504156348062675,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,231,21,0,4,0.43134547676192597,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,232,18,1,6,1.0822288346476852,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,233,18,1,5,0.6551338979927823,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,234,18,1,6,1.0480598337017,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,235,18,0,5,0.7280987309617921,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,236,18,1,5,0.7751879025436937,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,237,18,1,5,0.6930100798187777,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,238,21,0,6,1.0532829077681525,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,239,18,0,6,0.8753004896687343,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,240,18,1,6,1.0005043111741543,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,241,35,0,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,243,18,1,3,0.25081000006059184,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,244,18,1,4,0.3997729684715159,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,245,18,0,2,-0.24173624280840159,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,247,19,1,5,0.6278056565159932,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,248,20,0,2,-0.1272326068766415,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,249,20,0,6,1.0552494844188913,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,250,18,0,5,0.8073805544758215,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,251,20,1,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,252,19,1,4,0.4928679012460634,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,253,18,0,7,1.3720207362668588,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,254,18,0,4,0.4084327791747637,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,255,18,0,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,256,18,0,4,0.4706828475696966,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,257,22,1,3,0.22239446359686554,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,258,18,0,5,0.6805775397876277,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,259,17,1,4,0.4157183813792653,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,260,19,1,4,0.43220681104343384,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,261,18,1,2,-0.042910120803862806,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,262,18,1,5,0.8464148484403267,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,263,18,0,6,0.8544655735371635,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,264,18,0,7,1.3312266241712496,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,265,18,1,7,1.4873008275032045,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,266,18,1,5,0.7210930503811687,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,267,18,1,5,0.6443371741892769,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,268,18,0,6,0.8649141846224665,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,269,18,1,5,0.8271270010480657,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,270,18,1,6,1.1478166729211807,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,271,21,1,4,0.5424730166024528,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,272,19,0,5,0.8103513792296871,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,273,22,1,4,0.3726122880540788,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,274,18,1,7,1.2295285465335473,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,275,18,1,5,0.6194172012619674,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,276,18,1,2,-0.17708262659609317,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,277,18,1,5,0.8260308698099106,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,278,26,0,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,280,18,1,4,0.5222463516448624,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,281,20,0,2,-0.16104705536738037,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,282,19,0,6,0.8875518265645951,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,283,18,1,5,0.654513909923844,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,285,18,0,5,0.6488649410428479,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,286,18,0,5,0.7008016839111224,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,287,18,0,3,0.25285311294952406,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,288,18,1,0,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,289,18,0,6,0.9237147671636193,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,290,20,1,6,0.9359785362379625,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,291,18,1,7,1.4131465313769875,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,293,18,0,4,0.4241381942643784,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,295,18,0,4,0.49726705498993395,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,296,18,1,6,1.133143618609756,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,297,18,0,4,0.5018615977489389,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,298,18,1,5,0.8383787772897631,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,299,21,0,3,0.13867086484562607,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,300,18,0,7,1.225200462481007,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,301,18,0,7,1.409924333016388,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,302,18,0,3,0.16188532216940077,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,303,18,1,7,1.3609782493440434,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,305,18,0,6,0.8608654726063832,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,306,19,0,4,0.4205255210539326,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,307,18,0,3,0.2560172190773301,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,309,22,0,5,0.7427463126694783,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,310,18,0,4,0.369004457781557,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,311,18,1,2,-0.14513671573251485,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,312,18,1,4,0.5608706780150532,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,313,18,0,3,0.11876663127914072,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,314,18,0,6,1.0702449850272386,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,315,18,1,2,-0.2209890361689031,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,316,19,1,5,0.7660014259070158,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,318,23,1,4,0.3757672423380427,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,319,18,1,3,0.20515846627764406,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,320,22,0,4,0.5731306865136139,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,321,19,1,6,0.9179335671011358,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,322,18,1,6,0.923826162237674,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,323,20,0,6,0.9738345445133745,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,324,18,1,5,0.6575482422951608,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,325,19,0,7,1.3910058521246538,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,326,18,1,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,328,18,1,5,0.8234856201708316,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,329,18,1,5,0.7716273205354809,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,330,20,0,6,0.9401931205997243,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,331,19,0,7,1.4214820416551084,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,332,18,0,3,0.23196972477249803,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,333,20,1,3,0.13970693774055692,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,334,22,0,10,2.71,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,335,18,0,6,1.008315493632108,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,336,20,1,5,0.6891708040796221,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,337,18,0,3,0.04736825304571539,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,338,19,0,7,1.3181186252413317,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,339,25,0,8,1.592129319626838,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,340,21,0,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,341,18,1,4,0.5503682112810202,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,342,19,0,7,1.1840216869721187,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,343,22,0,7,1.3291353775700554,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,344,20,0,3,0.29467363883275544,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,345,18,0,3,0.09983545910334216,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,346,18,1,5,0.6415126223722473,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,347,18,1,6,1.0901815513381734,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,348,18,0,3,0.24883777444716546,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,349,18,0,4,0.5209655466955154,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,350,18,1,6,0.8684547540266067,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,351,23,0,6,0.858754691039212,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,353,21,1,4,0.5344884822354652,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,354,19,0,7,1.3934916902147234,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,355,18,1,6,1.0468723657773806,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,356,21,1,6,1.0403325121151283,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,357,25,1,5,0.7492416201392188,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,359,18,1,6,0.8560175537364557,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,360,18,0,6,1.1033906894968821,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,361,18,1,2,-0.25368334295228123,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,362,18,0,5,0.757661790731363,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,363,18,0,6,0.8817510643275455,Spain
