bibkey,paper,task,subject,choice,r,city,tablet_id,age,gender,country,latitude,longitude
Dannenberg2022,Dannenberg et al. 2022,IG,84,618,0.7433245512949737,Bugula,12,28,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,85,478,0.5987700478801405,Bugula,13,50,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,86,460,0.5678586501890672,Bugula,14,29,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,87,644,0.7602756092388979,Bugula,15,23,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,88,858,0.8600584657946109,Bugula,16,55,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,89,404,0.4287506054887194,Bugula,17,22,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,90,496,0.6254751214308442,Bugula,18,21,0,Tanzania,-2.01209,32.87846
Dannenberg2022,Dannenberg et al. 2022,IG,91,709,0.7961610640564137,Nafuba Island,1,31,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,92,618,0.7433245512949737,Nafuba Island,2,40,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,93,499,0.6295810724205416,Nafuba Island,3,48,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,94,142,1.5790995708428357,Nafuba Island,4,32,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,95,701,0.7921412972157489,Nafuba Island,5,25,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,96,107,1.396292731437441,Nafuba Island,6,36,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,97,184,2.0373498536371573,Nafuba Island,7,20,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,98,542,0.6799824830065408,Nafuba Island,8,41,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,99,766,0.8225126551196036,Nafuba Island,9,38,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,100,442,0.5315592157916448,Nafuba Island,10,25,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,101,683,0.7827328579809364,Nafuba Island,11,37,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,102,552,0.6898613194997442,Nafuba Island,12,32,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,103,386,0.3609235002200375,Nafuba Island,13,34,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,104,674,0.7778206444241031,Nafuba Island,14,32,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,105,567,0.7036580378107113,Nafuba Island,15,77,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,106,838,0.8521298057809172,Nafuba Island,16,42,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,107,695,0.7890633121259109,Nafuba Island,17,21,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,108,635,0.7546115664396404,Nafuba Island,18,30,0,Tanzania,-2.19918,33.28838
Dannenberg2022,Dannenberg et al. 2022,IG,109,400,0.4150374992788431,Guta,1,32,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,110,900,0.8769765845238189,Guta,2,36,0,Tanzania,-2.075145935036385,33.74057028922266
