"partid","duration","raw","percentile","t","z","iq","stanine","sten","c11"
65024001,15,5.72,84,60,110,115,7,8,8
65024101,15,10.95,4,32,82,73,1,2,1
65024201,17,7.33,48,49,99,99,5,5,5
65024301,16,7.73,39,47,97,96,4,5,4
65024401,18,10.04,8,36,86,79,2,3,2
65024501,17,5.89,81,59,109,114,7,7,7
65024601,20,8.37,25,43,93,90,4,4,3
65024701,19,6.85,60,53,103,105,6,6,6
65024801,21,8.84,19,41,91,87,3,4,3
65024901,16,5.32,89,62,112,118,7,8,8
65025001,18,10.24,6,34,84,76,2,2,1
65025101,17,8.49,23,43,93,90,4,4,3
65025201,17,8,33,46,96,94,4,5,4
65025301,16,5.4,88,62,112,118,7,8,8
65025401,15,6.59,67,54,104,106,6,6,6
65025601,15,6.93,58,52,102,103,5,6,6
65025701,19,9.33,14,39,89,84,3,3,2
65025801,17,7.25,50,50,100,100,5,6,5
65025901,15,8.09,31,45,95,93,4,5,4
65026001,21,5.68,85,60,110,115,7,8,8
65026101,18,6.95,58,52,102,103,5,6,6
65026201,16,4.03,98,71,121,132,9,10,10
65026301,14,8.1,30,45,95,93,4,5,4
65026401,15,8.88,18,41,91,87,3,4,3
65026501,15,6.57,67,54,104,106,6,6,6
65026601,15,5.11,91,63,113,120,8,8,8
65026701,20,6.46,69,55,105,108,6,7,6
65026801,19,8.81,19,41,91,87,3,4,3
65026901,22,6.81,61,53,103,105,6,6,6
65027001,18,7.99,33,46,96,94,4,5,4
65027101,17,7.47,46,49,99,99,5,5,5
65027201,16,6.95,58,52,102,103,5,6,6
65027301,20,9.69,11,38,88,82,3,3,2
65027401,17,8.5,23,43,93,90,4,4,3
65027501,15,8.03,32,45,95,93,4,5,4
65027601,16,7.14,53,51,101,102,5,6,5
65027701,19,7.77,38,47,97,96,4,5,4
65027801,19,7.88,36,46,96,94,4,5,4
65027901,18,10.32,6,34,84,76,2,2,1
65028001,15,9.15,16,40,90,85,3,4,3
65028101,18,8.94,18,41,91,87,3,4,3
65028201,20,10.56,5,34,84,76,2,2,1
65028301,19,7.94,35,46,96,94,4,5,4
65028401,19,10.67,4,32,82,73,1,2,1
65028501,17,6.52,68,55,105,108,6,7,6
65028601,16,7.25,50,50,100,100,5,6,5
65028701,17,7.77,38,47,97,96,4,5,4
65028801,17,11.22,3,31,81,72,1,2,0
65028901,17,7.07,55,51,101,102,5,6,5
65029001,16,9.09,17,40,90,85,3,4,3
65029101,18,8.82,19,41,91,87,3,4,3
65029201,19,9.3,14,39,89,84,3,3,2
65029301,19,8.15,29,44,94,91,4,4,4
65029401,19,8.79,19,41,91,87,3,4,3
65029501,17,9.18,15,40,90,85,3,4,3
65029601,23,9.22,15,40,90,85,3,4,3
65029701,16,8.16,29,44,94,91,4,4,4
65029801,16,8.37,25,43,93,90,4,4,3
65029901,19,10.36,6,34,84,76,2,2,1
65030001,17,10.1,8,36,86,79,2,3,2
65030101,17,9.05,17,40,90,85,3,4,3
65030201,17,9,18,41,91,87,3,4,3
65030301,15,8.38,25,43,93,90,4,4,3
65030401,20,10.98,4,32,82,73,1,2,1
65030501,16,6.1,77,57,107,111,6,7,7
65030601,17,6.88,60,53,103,105,6,6,6
65030701,18,11.3,3,31,81,72,1,2,0
65030801,15,7.21,51,50,100,100,5,6,5
65030901,16,8.15,29,44,94,91,4,4,4
65031001,17,8.85,19,41,91,87,3,4,3
65031101,15,8.97,18,41,91,87,3,4,3
65031201,18,8.83,19,41,91,87,3,4,3
65031301,17,7.08,55,51,101,102,5,6,5
65031401,16,5.7,84,60,110,115,7,8,8
65031501,20,7.82,38,47,97,96,4,5,4
65031601,22,7.25,50,50,100,100,5,6,5
65031701,19,8.49,23,43,93,90,4,4,3
65031801,19,9.4,13,39,89,84,3,3,2
65031901,17,9.99,9,37,87,81,2,3,2
65032001,19,9.12,16,40,90,85,3,4,3
65032101,18,8.2,29,44,94,91,4,4,4
65032201,21,8.33,26,44,94,91,4,4,4
65032301,18,7.87,36,46,96,94,4,5,4
65032401,14,8.28,27,44,94,91,4,4,4
65032501,16,7.69,40,47,97,96,4,5,4
65032601,16,8.58,22,42,92,88,3,4,3
65032701,18,7.82,38,47,97,96,4,5,4
65032801,14,8.56,22,42,92,88,3,4,3
65032901,15,8.63,22,42,92,88,3,4,3
65033001,15,8.83,19,41,91,87,3,4,3
65033101,17,8.37,25,43,93,90,4,4,3
65033201,17,8.95,18,41,91,87,3,4,3
65033301,17,7.99,33,46,96,94,4,5,4
65033401,17,8.41,24,43,93,90,4,4,3
65033501,17,7.39,47,49,99,99,5,5,5
65033601,17,10.5,5,34,84,76,2,2,1
65033701,17,7.88,36,46,96,94,4,5,4
65033801,18,9.52,12,38,88,82,3,3,2
65033901,16,8.69,21,42,92,88,3,4,3
65034001,17,7.89,36,46,96,94,4,5,4
65034101,18,10.42,6,34,84,76,2,2,1
65034201,19,8.73,20,42,92,88,3,4,3
65034301,21,8.5,23,43,93,90,4,4,3
65034401,19,8.84,19,41,91,87,3,4,3
65034501,17,6.63,66,54,104,106,6,6,6
65034601,18,7.29,49,50,100,100,5,6,5
65034701,16,8.85,19,41,91,87,3,4,3
65034801,17,9.31,14,39,89,84,3,3,2
65034901,17,10.71,4,32,82,73,1,2,1
65035001,15,6.1,77,57,107,111,6,7,7
65035101,19,8.49,23,43,93,90,4,4,3
65035201,17,8.51,22,42,92,88,3,4,3
65035301,16,9.21,15,40,90,85,3,4,3
65035401,16,8.22,29,44,94,91,4,4,4
65035501,16,5.44,88,62,112,118,7,8,8
65035601,14,6.2,75,57,107,111,6,7,7
65035701,17,9.17,16,40,90,85,3,4,3
65035801,16,6.86,60,53,103,105,6,6,6
65035901,17,7.38,47,49,99,99,5,5,5
65036001,17,7.53,44,48,98,97,5,5,5
65036101,16,8.19,29,44,94,91,4,4,4
65036201,17,9.19,15,40,90,85,3,4,3
65036301,15,6.11,77,57,107,111,6,7,7
65036401,19,9.41,13,39,89,84,3,3,2
65036501,16,8.36,25,43,93,90,4,4,3
65036601,14,4.19,98,71,121,132,9,10,10
65036701,19,6.83,61,53,103,105,6,6,6
65036801,19,12.19,2,29,79,69,1,1,0
65036901,19,7.22,51,50,100,100,5,6,5
65037001,18,8.41,24,43,93,90,4,4,3
65037101,14,7.14,53,51,101,102,5,6,5
65037201,14,7.76,39,47,97,96,4,5,4
65037301,21,8.13,30,45,95,93,4,5,4
65037401,17,8.21,29,44,94,91,4,4,4
65037501,15,6.62,66,54,104,106,6,6,6
65037601,17,7.45,46,49,99,99,5,5,5
65037701,16,6.64,66,54,104,106,6,6,6
65037801,19,6.8,62,53,103,105,6,6,6
65037901,17,7.29,49,50,100,100,5,6,5
65038001,22,8.67,21,42,92,88,3,4,3
65038101,15,7.51,45,49,99,99,5,5,5
65038201,16,7.3,49,50,100,100,5,6,5
65038301,18,9.91,9,37,87,81,2,3,2
65038401,16,10.17,7,35,85,78,2,3,1
65038501,16,7.41,47,49,99,99,5,5,5
65038601,17,8.17,29,44,94,91,4,4,4
65038701,18,8.38,25,43,93,90,4,4,3
65038801,17,7.31,49,50,100,100,5,6,5
65038901,20,9.11,16,40,90,85,3,4,3
65039001,18,8.62,22,42,92,88,3,4,3
65039101,18,7.45,46,49,99,99,5,5,5
65039201,16,8.98,18,41,91,87,3,4,3
65039301,18,8.52,22,42,92,88,3,4,3
65039401,17,9.19,15,40,90,85,3,4,3
65039501,15,6.29,73,56,106,109,6,7,7
65039601,16,7.62,42,48,98,97,5,5,5
65039701,15,9.06,17,40,90,85,3,4,3
65039801,18,9,18,41,91,87,3,4,3
65039901,18,6.24,74,56,106,109,6,7,7
65040001,21,8.74,20,42,92,88,3,4,3
65040201,17,10.21,7,35,85,78,2,3,1
65040301,15,7.09,54,51,101,102,5,6,5
65040401,17,4.05,98,71,121,132,9,10,10
65040501,18,8.11,30,45,95,93,4,5,4
65040601,14,7.44,47,49,99,99,5,5,5
65040701,16,6.71,63,53,103,105,6,6,6
65040801,18,5.97,80,58,108,112,7,7,7
65040901,17,7.61,43,48,98,97,5,5,5
65041001,20,9.22,15,40,90,85,3,4,3
65041101,23,5.86,82,59,109,114,7,7,7
65041201,16,6.55,67,54,104,106,6,6,6
65041301,16,6.28,73,56,106,109,6,7,7
