"partid","trial","block","pumps","exploded","payoff"
64008701,2,1,47,1,0
64008701,3,1,18,1,0
64008701,4,1,31,0,31
64008701,5,1,31,0,31
64008701,6,1,34,0,34
64008701,7,1,13,1,0
64008701,8,1,39,0,39
64008701,9,1,22,1,0
64008701,10,1,60,0,60
64008701,11,2,30,1,0
64008701,12,2,47,0,47
64008701,13,2,46,0,46
64008701,14,2,58,0,58
64008701,15,2,44,0,44
64008701,16,2,67,0,67
64008701,17,2,37,1,0
64008701,18,2,28,1,0
64008701,19,2,44,0,44
64008701,20,2,67,1,0
64008701,21,3,53,0,53
64008701,22,3,50,1,0
64008701,23,3,1,1,0
64008701,24,3,50,0,50
64008701,25,3,45,0,45
64008701,26,3,65,0,65
64008701,27,3,81,0,81
64008701,28,3,71,0,71
64008701,29,3,33,1,0
64008701,30,3,48,0,48
64011501,1,1,58,1,0
64011501,2,1,46,0,46
64011501,3,1,60,0,60
64011501,4,1,70,0,70
64011501,5,1,49,1,0
64011501,6,1,18,1,0
64011501,7,1,41,0,41
64011501,8,1,28,1,0
64011501,9,1,47,1,0
64011501,10,1,40,0,40
64011501,11,2,50,1,0
64011501,12,2,39,0,39
64011501,13,2,22,1,0
64011501,14,2,30,0,30
64011501,15,2,50,0,50
64011501,16,2,1,1,0
64011501,17,2,33,1,0
64011501,18,2,40,0,40
64011501,19,2,60,0,60
64011501,20,2,60,0,60
64011501,21,3,30,1,0
64011501,22,3,50,0,50
64011501,23,3,56,1,0
64011501,24,3,30,0,30
64011501,25,3,55,0,55
64011501,26,3,60,0,60
64011501,27,3,13,1,0
64011501,28,3,30,0,30
64011501,29,3,37,1,0
64011501,30,3,40,0,40
64015601,1,1,49,1,0
64015601,2,1,37,0,37
64015601,3,1,88,0,88
64015601,4,1,22,1,0
64015601,5,1,50,1,0
64015601,6,1,40,0,40
64015601,7,1,71,0,71
64015601,8,1,61,1,0
64015601,9,1,40,0,40
64015601,10,1,47,1,0
64015601,11,2,30,0,30
64015601,12,2,60,0,60
64015601,13,2,55,1,0
64015601,14,2,30,1,0
64015601,15,2,37,0,37
64015601,16,2,48,0,48
64015601,17,2,33,0,33
64015601,18,2,13,1,0
64015601,19,2,40,0,40
64015601,20,2,50,0,50
64015601,21,3,36,0,36
64015601,22,3,46,0,46
64015601,23,3,70,1,0
64015601,24,3,27,0,27
64015601,25,3,50,0,50
64015601,26,3,1,1,0
64015601,27,3,30,0,30
64015601,28,3,60,0,60
64015601,29,3,18,1,0
64015601,30,3,28,1,0
64016901,1,1,28,1,0
64016901,2,1,20,0,20
64016901,3,1,21,0,21
64016901,4,1,22,0,22
64016901,5,1,26,0,26
64016901,6,1,28,0,28
64016901,7,1,35,0,35
64016901,8,1,37,0,37
64016901,9,1,43,0,43
64016901,10,1,49,1,0
64016901,11,2,35,0,35
64016901,12,2,40,0,40
64016901,13,2,1,1,0
64016901,14,2,35,0,35
64016901,15,2,40,0,40
64016901,16,2,30,1,0
64016901,17,2,30,0,30
64016901,18,2,35,0,35
64016901,19,2,35,0,35
64016901,20,2,18,1,0
64016901,21,3,35,0,35
64016901,22,3,22,1,0
64016901,23,3,40,0,40
64016901,24,3,50,0,50
64016901,25,3,35,0,35
64016901,26,3,40,0,40
64016901,27,3,35,0,35
64016901,28,3,60,0,60
64016901,29,3,13,1,0
64016901,30,3,72,1,0
64018301,1,1,95,1,0
64018301,2,1,60,0,60
64018301,3,1,61,1,0
64018301,4,1,50,1,0
64018301,5,1,30,0,30
64018301,6,1,30,0,30
64018301,7,1,40,0,40
64018301,8,1,35,0,35
64018301,9,1,30,1,0
64018301,10,1,20,0,20
64018301,11,2,25,0,25
64018301,12,2,28,0,28
64018301,13,2,32,0,32
64018301,14,2,35,0,35
64018301,15,2,35,0,35
64018301,16,2,40,0,40
64018301,17,2,35,0,35
64018301,18,2,40,0,40
64018301,19,2,22,1,0
64018301,20,2,20,0,20
64018301,21,3,28,1,0
64018301,22,3,25,0,25
64018301,23,3,13,1,0
64018301,24,3,21,0,21
64018301,25,3,29,0,29
64018301,26,3,25,0,25
64018301,27,3,1,1,0
64018301,28,3,22,0,22
64018301,29,3,18,1,0
64018301,30,3,18,0,18
64020401,1,1,79,1,0
64020401,2,1,50,0,50
64020401,3,1,67,0,67
64020401,4,1,67,1,0
64020401,5,1,64,0,64
64020401,6,1,28,1,0
64020401,7,1,72,0,72
64020401,8,1,56,1,0
64020401,9,1,58,0,58
64020401,10,1,30,1,0
64020401,11,2,64,0,64
64020401,12,2,40,0,40
64020401,13,2,82,0,82
64020401,14,2,13,1,0
64020401,15,2,76,0,76
64020401,16,2,72,1,0
64020401,17,2,47,1,0
64020401,18,2,1,1,0
64020401,19,2,44,0,44
64020401,20,2,43,0,43
64020401,21,3,33,1,0
64020401,22,3,18,1,0
64020401,23,3,59,0,59
64020401,24,3,22,1,0
64020401,25,3,68,0,68
64020401,26,3,55,1,0
64020401,27,3,42,0,42
64020401,28,3,65,0,65
64020401,29,3,37,1,0
64020401,30,3,49,1,0
64020501,1,1,8,0,8
64020501,2,1,7,0,7
64020501,3,1,7,0,7
64020501,4,1,9,0,9
64020501,5,1,10,0,10
64020501,6,1,20,0,20
64020501,7,1,18,1,0
64020501,8,1,16,0,16
64020501,9,1,20,0,20
64020501,10,1,23,0,23
64020501,11,2,20,0,20
64020501,12,2,23,0,23
64020501,13,2,13,1,0
64020501,14,2,1,1,0
64020501,15,2,20,0,20
64020501,16,2,23,0,23
64020501,17,2,25,0,25
64020501,18,2,24,0,24
64020501,19,2,27,0,27
64020501,20,2,30,0,30
64020501,21,3,33,0,33
64020501,22,3,39,0,39
64020501,23,3,45,0,45
64020501,24,3,43,0,43
64020501,25,3,49,0,49
64020501,26,3,30,1,0
64020501,27,3,39,0,39
64020501,28,3,49,0,49
64020501,29,3,50,0,50
64020501,30,3,49,0,49
64021901,1,1,1,1,0
64021901,2,1,10,0,10
64021901,3,1,25,0,25
64021901,4,1,25,0,25
64021901,5,1,32,0,32
64021901,6,1,36,0,36
64021901,7,1,40,0,40
64021901,8,1,37,1,0
64021901,9,1,32,0,32
64021901,10,1,13,1,0
64021901,11,2,30,0,30
64021901,12,2,33,0,33
64021901,13,2,34,0,34
64021901,14,2,30,1,0
64021901,15,2,28,1,0
64021901,16,2,25,0,25
64021901,17,2,30,0,30
64021901,18,2,18,1,0
64021901,19,2,20,0,20
64021901,20,2,30,0,30
64021901,21,3,30,0,30
64021901,22,3,32,0,32
64021901,23,3,30,0,30
64021901,24,3,33,0,33
64021901,25,3,30,0,30
64021901,26,3,33,0,33
64021901,27,3,32,0,32
64021901,28,3,32,0,32
64021901,29,3,30,0,30
64021901,30,3,22,1,0
64022901,1,1,28,0,28
64022901,2,1,29,0,29
64022901,3,1,30,0,30
64022901,4,1,32,0,32
64022901,5,1,39,0,39
64022901,6,1,50,0,50
64022901,7,1,22,1,0
64022901,8,1,25,0,25
64022901,9,1,30,0,30
64022901,10,1,34,0,34
64022901,11,2,51,0,51
64022901,12,2,1,1,0
64022901,13,2,46,0,46
64022901,14,2,30,1,0
64022901,15,2,27,0,27
64022901,16,2,42,0,42
64022901,17,2,41,0,41
64022901,18,2,33,0,33
64022901,19,2,50,0,50
64022901,20,2,50,1,0
64022901,21,3,50,0,50
64022901,22,3,18,1,0
64022901,23,3,37,0,37
64022901,24,3,36,0,36
64022901,25,3,37,1,0
64022901,26,3,13,1,0
64022901,27,3,41,0,41
64022901,28,3,31,0,31
64022901,29,3,20,0,20
64022901,30,3,50,0,50
64025601,1,1,20,0,20
64025601,2,1,18,1,0
64025601,3,1,10,0,10
64025601,4,1,13,0,13
64025601,5,1,15,0,15
64025601,6,1,16,0,16
64025601,7,1,21,0,21
64025601,8,1,24,0,24
64025601,9,1,1,1,0
64025601,10,1,20,0,20
64025601,11,2,15,0,15
64025601,12,2,13,1,0
64025601,13,2,16,0,16
64025601,14,2,20,0,20
64025601,15,2,23,0,23
64025601,16,2,30,0,30
64025601,17,2,26,0,26
64025601,18,2,18,0,18
64025601,19,2,33,0,33
64025601,20,2,46,0,46
64025601,21,3,73,1,0
64025601,22,3,46,0,46
64025601,23,3,49,1,0
64025601,24,3,31,0,31
64025601,25,3,37,0,37
64025601,26,3,28,1,0
64025601,27,3,15,0,15
64025601,28,3,30,0,30
64025601,29,3,45,0,45
64025601,30,3,56,1,0
64026901,1,1,10,0,10
64026901,2,1,17,0,17
64026901,3,1,20,0,20
64026901,4,1,43,0,43
64026901,5,1,43,0,43
64026901,6,1,57,0,57
64026901,7,1,69,0,69
64026901,8,1,56,1,0
64026901,9,1,48,0,48
64026901,10,1,51,0,51
64026901,11,2,1,1,0
64026901,12,2,70,0,70
64026901,13,2,51,0,51
64026901,14,2,71,0,71
64026901,15,2,30,1,0
64026901,16,2,56,0,56
64026901,17,2,28,1,0
64026901,18,2,37,1,0
64026901,19,2,48,0,48
64026901,20,2,47,1,0
64026901,21,3,13,1,0
64026901,22,3,47,0,47
64026901,23,3,72,1,0
64026901,24,3,62,0,62
64026901,25,3,68,0,68
64026901,26,3,22,1,0
64026901,27,3,18,1,0
64026901,28,3,50,1,0
64026901,29,3,33,1,0
64026901,30,3,52,0,52
64027801,1,1,110,1,0
64027801,2,1,33,1,0
64027801,3,1,73,1,0
64027801,4,1,50,0,50
64027801,5,1,37,1,0
64027801,6,1,28,1,0
64027801,7,1,51,0,51
64027801,8,1,56,1,0
64027801,9,1,56,0,56
64027801,10,1,47,1,0
64027801,11,2,44,0,44
64027801,12,2,18,1,0
64027801,13,2,22,1,0
64027801,14,2,13,1,0
64027801,15,2,10,0,10
64027801,16,2,50,1,0
64027801,17,2,50,0,50
64027801,18,2,67,0,67
64027801,19,2,49,1,0
64027801,20,2,66,0,66
64027801,21,3,81,1,0
64027801,22,3,67,1,0
64027801,23,3,60,0,60
64027801,24,3,55,0,55
64027801,25,3,1,1,0
64027801,26,3,60,0,60
64027801,27,3,70,0,70
64027801,28,3,61,1,0
64027801,29,3,30,1,0
64027801,30,3,20,0,20
64029901,1,1,20,0,20
64029901,2,1,21,0,21
64029901,3,1,16,0,16
64029901,4,1,18,0,18
64029901,5,1,22,0,22
64029901,6,1,21,0,21
64029901,7,1,24,0,24
64029901,8,1,38,0,38
64029901,9,1,37,0,37
64029901,10,1,47,0,47
64029901,11,2,47,0,47
64029901,12,2,38,0,38
64029901,13,2,1,1,0
64029901,14,2,12,0,12
64029901,15,2,27,0,27
64029901,16,2,30,0,30
64029901,17,2,14,0,14
64029901,18,2,13,0,13
64029901,19,2,21,0,21
64029901,20,2,11,0,11
64029901,21,3,6,0,6
64029901,22,3,19,0,19
64029901,23,3,15,0,15
64029901,24,3,12,0,12
64029901,25,3,11,0,11
64029901,26,3,12,0,12
64029901,27,3,12,0,12
64029901,28,3,14,0,14
64029901,29,3,41,0,41
64029901,30,3,28,1,0
64031301,1,1,22,1,0
64031301,2,1,20,0,20
64031301,3,1,23,0,23
64031301,4,1,24,0,24
64031301,5,1,25,0,25
64031301,6,1,18,1,0
64031301,7,1,15,0,15
64031301,8,1,20,0,20
64031301,9,1,23,0,23
64031301,10,1,23,0,23
64031301,11,2,26,0,26
64031301,12,2,25,0,25
64031301,13,2,1,1,0
64031301,14,2,25,0,25
64031301,15,2,28,1,0
64031301,17,2,20,0,20
64031301,18,2,30,0,30
64031301,19,2,28,0,28
64031301,20,2,13,1,0
64031301,21,3,25,0,25
64031301,22,3,30,0,30
64031301,23,3,30,0,30
64031301,24,3,25,0,25
64031301,25,3,28,0,28
64031301,26,3,30,0,30
64031301,27,3,30,0,30
64031301,28,3,33,1,0
64031301,29,3,30,0,30
64031301,30,3,30,0,30
64034901,1,1,4,0,4
64034901,2,1,5,0,5
64034901,3,1,6,0,6
64034901,4,1,9,0,9
64034901,5,1,10,0,10
64034901,6,1,20,0,20
64034901,7,1,16,0,16
64034901,8,1,31,0,31
64034901,9,1,30,1,0
64034901,10,1,16,0,16
64034901,11,2,20,0,20
64034901,12,2,19,0,19
64034901,13,2,26,0,26
64034901,14,2,29,0,29
64034901,15,2,27,0,27
64034901,16,2,40,0,40
64034901,17,2,29,0,29
64034901,18,2,39,0,39
64034901,19,2,47,1,0
64034901,20,2,29,0,29
64034901,21,3,1,1,0
64034901,22,3,20,0,20
64034901,23,3,37,0,37
64034901,24,3,28,1,0
64034901,25,3,25,0,25
64034901,26,3,30,0,30
64034901,27,3,29,0,29
64034901,28,3,34,0,34
64034901,29,3,42,0,42
64034901,30,3,49,0,49
64036201,1,1,18,1,0
64036201,2,1,1,1,0
64036201,3,1,10,0,10
64036201,4,1,12,0,12
64036201,5,1,15,0,15
64036201,6,1,18,0,18
64036201,7,1,24,0,24
64036201,8,1,30,0,30
64036201,9,1,35,0,35
64036201,10,1,40,0,40
64036201,11,2,45,0,45
64036201,12,2,50,1,0
64036201,13,2,45,0,45
64036201,14,2,45,0,45
64036201,15,2,37,1,0
64036201,16,2,45,0,45
64036201,17,2,22,1,0
64036201,18,2,45,0,45
64036201,19,2,45,0,45
64036201,20,2,50,0,50
64036201,21,3,57,0,57
64036201,22,3,67,1,0
64036201,23,3,56,0,56
64036201,24,3,58,0,58
64036201,25,3,56,1,0
64036201,26,3,30,1,0
64036201,27,3,13,1,0
64036201,28,3,55,1,0
64036201,29,3,51,0,51
64036201,30,3,47,1,0
64036701,1,1,1,1,0
64036701,2,1,30,0,30
64036701,3,1,30,0,30
64036701,4,1,35,0,35
64036701,5,1,30,1,0
64036701,6,1,25,0,25
64036701,7,1,30,0,30
64036701,8,1,35,0,35
64036701,9,1,40,0,40
64036701,10,1,50,0,50
64036701,11,2,55,1,0
64036701,12,2,50,1,0
64036701,13,2,40,0,40
64036701,14,2,40,0,40
64036701,15,2,50,0,50
64036701,16,2,13,1,0
64036701,17,2,22,1,0
64036701,18,2,15,0,15
64036701,19,2,30,0,30
64036701,20,2,35,0,35
64036701,21,3,28,1,0
64036701,22,3,25,0,25
64036701,23,3,35,0,35
64036701,24,3,35,0,35
64036701,25,3,40,0,40
64036701,26,3,18,1,0
64036701,27,3,40,0,40
64036701,28,3,30,0,30
64036701,29,3,50,0,50
64036701,30,3,55,0,55
64037701,1,1,39,0,39
64037701,2,1,79,0,79
64037701,3,1,99,0,99
64037701,4,1,79,1,0
64037701,5,1,13,1,0
64037701,6,1,49,0,49
64037701,7,1,22,1,0
64037701,8,1,47,0,47
64037701,9,1,25,0,25
64037701,10,1,29,0,29
64037701,11,2,46,0,46
64037701,12,2,47,1,0
64037701,13,2,44,0,44
64037701,14,2,42,0,42
64037701,15,2,50,0,50
64037701,16,2,30,1,0
64037701,17,2,48,0,48
64037701,18,2,18,1,0
64037701,19,2,37,1,0
64037701,20,2,33,0,33
64037701,21,3,1,1,0
64037701,22,3,50,1,0
64037701,23,3,41,0,41
64037701,24,3,49,0,49
64037701,25,3,48,0,48
64037701,26,3,33,1,0
64037701,27,3,46,0,46
64037701,28,3,47,0,47
64037701,29,3,46,0,46
64037701,30,3,28,1,0
64039601,1,1,1,1,0
64039601,2,1,1,0,1
64039601,3,1,4,0,4
64039601,4,1,10,0,10
64039601,5,1,18,0,18
64039601,6,1,33,0,33
64039601,7,1,50,0,50
64039601,8,1,28,1,0
64039601,9,1,29,0,29
64039601,10,1,46,0,46
64039601,11,2,33,1,0
64039601,12,2,40,0,40
64039601,13,2,22,1,0
64039601,14,2,50,1,0
64039601,15,2,24,0,24
64039601,16,2,46,0,46
64039601,17,2,43,0,43
64039601,18,2,37,1,0
64039601,19,2,55,0,55
64039601,20,2,13,1,0
64039601,21,3,60,0,60
64039601,22,3,25,0,25
64039601,23,3,67,0,67
64039601,24,3,30,0,30
64039601,25,3,81,0,81
64039601,26,3,47,1,0
64039601,27,3,73,1,0
64039601,28,3,29,0,29
64039601,29,3,58,0,58
64039601,30,3,52,0,52
64042701,1,1,79,1,0
64042701,2,1,65,0,65
64042701,3,1,55,1,0
64042701,4,1,1,1,0
64042701,5,1,50,0,50
64042701,6,1,47,0,47
64042701,7,1,13,1,0
64042701,8,1,28,0,28
64042701,9,1,10,0,10
64042701,10,1,28,1,0
64042701,11,2,50,0,50
64042701,12,2,40,0,40
64042701,13,2,33,1,0
64042701,14,2,40,0,40
64042701,15,2,22,1,0
64042701,16,2,40,0,40
64042701,17,2,18,1,0
64042701,18,2,15,0,15
64042701,19,2,15,0,15
64042701,20,2,30,1,0
64042701,21,3,20,0,20
64042701,22,3,35,0,35
64042701,23,3,15,0,15
64042701,24,3,30,0,30
64042701,25,3,25,0,25
64042701,26,3,25,0,25
64042701,27,3,50,0,50
64042701,28,3,35,0,35
64042701,29,3,30,0,30
64042701,30,3,35,0,35
64046301,1,1,50,0,50
64046301,2,1,28,1,0
64046301,3,1,40,0,40
64046301,4,1,40,0,40
64046301,5,1,40,0,40
64046301,6,1,40,0,40
64046301,7,1,40,0,40
64046301,8,1,40,0,40
64046301,9,1,40,0,40
64046301,10,1,40,0,40
64046301,11,2,40,0,40
64046301,12,2,40,0,40
64046301,13,2,18,1,0
64046301,14,2,40,0,40
64046301,15,2,40,0,40
64046301,16,2,40,0,40
64046301,17,2,40,0,40
64046301,18,2,22,1,0
64046301,19,2,40,0,40
64046301,20,2,40,0,40
64046301,21,3,40,0,40
64046301,22,3,1,1,0
64046301,23,3,40,0,40
64046301,24,3,13,1,0
64046301,25,3,33,1,0
64046301,26,3,40,0,40
64046301,27,3,40,0,40
64046301,28,3,40,0,40
64046301,29,3,30,1,0
64046301,30,3,37,1,0
64047801,1,1,100,0,100
64047801,2,1,55,1,0
64047801,3,1,50,0,50
64047801,4,1,22,1,0
64047801,5,1,50,0,50
64047801,6,1,30,1,0
64047801,7,1,70,1,0
64047801,8,1,50,1,0
64047801,9,1,40,0,40
64047801,10,1,33,1,0
64047801,11,2,30,0,30
64047801,12,2,40,0,40
64047801,13,2,50,0,50
64047801,14,2,60,0,60
64047801,15,2,70,0,70
64047801,16,2,80,0,80
64047801,17,2,28,1,0
64047801,18,2,30,0,30
64047801,19,2,50,0,50
64047801,20,2,47,1,0
64047801,21,3,60,0,60
64047801,22,3,67,1,0
64047801,23,3,13,1,0
64047801,24,3,20,0,20
64047801,25,3,49,1,0
64047801,26,3,20,0,20
64047801,27,3,1,1,0
64047801,28,3,40,0,40
64047801,29,3,10,0,10
64047801,30,3,58,1,0
64049601,1,1,37,1,0
64049601,2,1,33,1,0
64049601,3,1,28,0,28
64049601,4,1,30,0,30
64049601,5,1,1,1,0
64049601,6,1,19,0,19
64049601,7,1,25,0,25
64049601,8,1,30,0,30
64049601,9,1,30,0,30
64049601,10,1,34,0,34
64049601,11,2,13,1,0
64049601,12,2,30,0,30
64049601,13,2,30,0,30
64049601,14,2,22,0,22
64049601,15,2,30,0,30
64049601,16,2,32,0,32
64049601,17,2,35,0,35
64049601,18,2,36,0,36
64049601,19,2,40,0,40
64049601,20,2,60,0,60
64049601,21,3,18,1,0
64049601,22,3,32,0,32
64049601,23,3,28,1,0
64049601,24,3,31,0,31
64049601,25,3,41,0,41
64049601,26,3,21,0,21
64049601,27,3,51,0,51
64049601,28,3,56,0,56
64049601,29,3,49,1,0
64049601,30,3,40,0,40
64049701,1,1,30,0,30
64049701,2,1,18,1,0
64049701,3,1,25,0,25
64049701,4,1,30,0,30
64049701,5,1,51,0,51
64049701,6,1,1,1,0
64049701,7,1,67,0,67
64049701,8,1,71,0,71
64049701,9,1,37,1,0
64049701,10,1,50,0,50
64049701,11,2,55,1,0
64049701,12,2,53,0,53
64049701,13,2,65,0,65
64049701,14,2,49,1,0
64049701,15,2,44,0,44
64049701,16,2,50,0,50
64049701,17,2,61,1,0
64049701,18,2,30,1,0
64049701,19,2,25,0,25
64049701,20,2,50,0,50
64049701,21,3,58,1,0
64049701,22,3,33,1,0
64049701,23,3,31,0,31
64049701,24,3,22,1,0
64049701,25,3,40,0,40
64049701,26,3,28,1,0
64049701,27,3,40,0,40
64049701,28,3,13,1,0
64049701,29,3,42,0,42
64049701,30,3,43,0,43
64051301,1,1,30,1,0
64051301,2,1,25,0,25
64051301,3,1,26,0,26
64051301,4,1,29,0,29
64051301,5,1,32,0,32
64051301,6,1,34,0,34
64051301,7,1,30,0,30
64051301,8,1,50,0,50
64051301,9,1,18,1,0
64051301,10,1,33,0,33
64051301,11,2,58,0,58
64051301,12,2,56,1,0
64051301,13,2,33,0,33
64051301,14,2,40,0,40
64051301,15,2,13,1,0
64051301,16,2,33,0,33
64051301,17,2,1,1,0
64051301,18,2,43,0,43
64051301,19,2,46,0,46
64051301,20,2,50,0,50
64051301,21,3,49,0,49
64051301,22,3,46,0,46
64051301,23,3,56,0,56
64051301,24,3,37,1,0
64051301,25,3,44,0,44
64051301,26,3,43,0,43
64051301,27,3,53,0,53
64051301,28,3,22,1,0
64051301,29,3,28,1,0
64051301,30,3,27,0,27
64051501,1,1,50,0,50
64051501,2,1,50,0,50
64051501,3,1,50,0,50
64051501,4,1,50,0,50
64051501,5,1,22,1,0
64051501,6,1,50,0,50
64051501,7,1,50,0,50
64051501,8,1,50,0,50
64051501,9,1,1,1,0
64051501,10,1,33,1,0
64051501,11,2,50,0,50
64051501,12,2,50,0,50
64051501,13,2,18,1,0
64051501,14,2,51,0,51
64051501,15,2,52,0,52
64051501,16,2,52,0,52
64051501,17,2,55,0,55
64051501,18,2,55,0,55
64051501,19,2,55,0,55
64051501,20,2,28,1,0
64051501,21,3,55,1,0
64051501,22,3,47,1,0
64051501,23,3,51,0,51
64051501,24,3,53,0,53
64051501,25,3,50,1,0
64051501,26,3,40,0,40
64051501,27,3,46,0,46
64051501,28,3,13,1,0
64051501,29,3,30,1,0
64051501,30,3,37,1,0
64052901,1,1,15,0,15
64052901,2,1,70,0,70
64052901,3,1,56,1,0
64052901,4,1,55,1,0
64052901,5,1,37,1,0
64052901,6,1,30,0,30
64052901,7,1,30,0,30
64052901,8,1,30,0,30
64052901,9,1,35,0,35
64052901,10,1,40,0,40
64052901,11,2,28,1,0
64052901,12,2,1,1,0
64052901,13,2,25,0,25
64052901,14,2,18,1,0
64052901,15,2,20,0,20
64052901,16,2,25,0,25
64052901,17,2,30,0,30
64052901,18,2,30,1,0
64052901,19,2,20,0,20
64052901,20,2,30,0,30
64052901,21,3,30,0,30
64052901,22,3,35,0,35
64052901,23,3,25,0,25
64052901,24,3,50,0,50
64052901,25,3,40,0,40
64052901,26,3,13,1,0
64052901,27,3,20,0,20
64052901,28,3,40,0,40
64052901,29,3,22,1,0
64052901,30,3,60,0,60
64053701,1,1,18,1,0
64053701,2,1,12,0,12
64053701,3,1,15,0,15
64053701,4,1,16,0,16
64053701,5,1,19,0,19
64053701,6,1,13,1,0
64053701,7,1,12,0,12
64053701,8,1,16,0,16
64053701,9,1,16,0,16
64053701,10,1,18,0,18
64053701,11,2,17,0,17
64053701,12,2,19,0,19
64053701,13,2,20,0,20
64053701,14,2,25,0,25
64053701,15,2,28,0,28
64053701,16,2,30,0,30
64053701,17,2,30,0,30
64053701,18,2,35,0,35
64053701,19,2,35,0,35
64053701,20,2,45,0,45
64053701,21,3,50,0,50
64053701,22,3,1,1,0
64053701,23,3,50,0,50
64053701,24,3,37,1,0
64053701,25,3,35,0,35
64053701,26,3,52,0,52
64053701,27,3,60,0,60
64053701,28,3,60,0,60
64053701,29,3,28,1,0
64053701,30,3,22,1,0
64055001,1,1,14,0,14
64055001,2,1,13,0,13
64055001,3,1,18,0,18
64055001,4,1,25,0,25
64055001,5,1,26,0,26
64055001,6,1,28,0,28
64055001,7,1,35,0,35
64055001,8,1,60,0,60
