"partid","CCTncards","CCTacards","CCTratio","CCTaratio","CCTpayoff"
68022201,482,307,0.22424119,0.33668315,60.47619
68022301,357,117,0.16548783,0.10879372,71.011905
68022401,630,186,0.28962092,0.53966985,33.571429
68022501,463,159,0.2352452,0.29038438,61.785714
68022601,562,267,0.25033176,0.28306632,32.5
68022701,532,143,0.25063084,0.57911568,-24.880952
68022801,399,270,0.19404562,0.24170688,33.452381
68022901,204,143,0.085251676,0.079577225,19.22619
68023001,494,265,0.22960607,0.27694811,57.202381
68023101,523,213,0.22902996,0.24906967,16.964286
68023201,627,225,0.27272863,0.39523545,54.404762
68023301,431,176,0.19335495,0.18191664,34.880952
68023401,694,164,0.31123374,0.35357728,45.952381
68023501,495,210,0.2322189,0.31209639,37.380952
68023801,572,231,0.23692077,0.25854899,27.261905
68023901,188,24,0.1003517,0.021483682,66.071429
68024001,398,208,0.16879004,0.18988264,-9.8809524
68024101,466,229,0.20651288,0.21353885,96.607143
68024201,392,268,0.17131953,0.18114527,33.452381
68024401,301,136,0.14149164,0.10655704,26.190476
68024501,282,108,0.14455022,0.10233236,59.52381
68024601,363,230,0.1483873,0.15438812,8.8095238
68024701,491,180,0.22390396,0.22236445,20.595238
68024801,469,176,0.21917315,0.24167478,10.892857
68025001,267,197,0.13193644,0.13921963,33.571429
68025101,414,213,0.20422849,0.26327295,69.821429
68025201,561,80,0.26248431,0.34255128,-29.761905
68025301,172,76,0.10865513,0.074698632,68.27381
68025401,427,281,0.20594274,0.30628946,24.821429
68025501,505,235,0.21531675,0.20962253,-17.02381
68025701,491,152,0.23057024,0.24810711,43.571429
68025801,562,387,0.2398174,0.27623509,104.88095
68025901,592,329,0.24263775,0.28138869,38.333333
68026001,437,242,0.21019153,0.2856389,64.285714
68026101,597,243,0.27172942,0.44837698,36.428571
68026201,388,234,0.16616123,0.17702788,38.511905
68026301,338,129,0.16491197,0.13343802,69.583333
68026401,485,319,0.21361209,0.27365088,13.154762
68026501,420,273,0.20364182,0.27663072,23.571429
68026601,519,226,0.24472049,0.37219132,24.642857
68026801,383,145,0.19041066,0.16836236,21.666667
68026901,469,275,0.21836708,0.30176634,28.809524
68027001,528,166,0.2462532,0.31009213,4.3452381
68027101,398,181,0.17627235,0.1619617,-1.9642857
68027201,346,198,0.14946281,0.16206073,-6.3095238
68027301,317,157,0.1535517,0.13714361,68.27381
68027401,493,217,0.23003749,0.25267041,94.702381
68027601,399,236,0.18272277,0.22799638,35.654762
68027701,420,192,0.19603296,0.22760032,5.7738095
68027901,298,186,0.12961416,0.12771783,16.547619
68028001,481,255,0.21793525,0.2999462,6.3095238
68028101,426,145,0.21595945,0.22179143,90
68028201,435,207,0.20743988,0.25398248,54.047619
68028301,359,170,0.16438153,0.15355811,53.928571
68028701,435,233,0.18239412,0.20120478,-24.642857
68028901,416,224,0.20120302,0.19290378,104.64286
68029001,365,171,0.1817066,0.15399947,56.964286
68029101,647,189,0.28122264,0.32715865,52.97619
68029201,576,247,0.26593702,0.41332963,63.630952
68029401,361,239,0.16979058,0.1859745,41.130952
68029501,503,210,0.22719044,0.24186311,-1.9047619
68029601,353,214,0.14969119,0.14534441,34.285714
