bibkey,paper,task,subject,age,gender,choice,r,country,city,lattitude,longitude
Shachat2021,Shachat 2021,CEPL,115,20,1,3,-2.5660048700938933,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,116,21,1,5,0.6893339963420293,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,117,19,1,5,0.43008695976575834,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,118,18,1,5,0.29729646573541685,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,119,19,1,10,7.96,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,120,21,1,5,0.5028469610959292,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,121,19,1,6,1.7199452447146177,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,122,20,1,4,-0.02715486186090854,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,123,23,0,7,2.717376115291845,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,124,19,1,4,-0.5187427852721884,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,125,19,1,3,-1.275117082290817,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,126,20,1,4,-0.10941781395347783,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,127,19,1,4,-0.6438131273118779,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,128,21,1,5,0.7555807356256992,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,129,18,1,1,-2.93,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,130,19,1,4,-0.9911533273453824,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,131,18,1,5,0.9902553832018748,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,132,20,1,4,-0.47136961699696256,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,133,22,1,5,0.12198122013127433,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,134,21,1,5,0.34802178893005475,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,135,18,1,5,0.6464959891512989,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,136,19,1,5,0.4422756405873224,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,137,22,0,6,1.7999606139259412,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,138,18,1,4,-0.9428026828356088,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,139,19,1,5,0.6834746966534293,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,140,21,1,4,-0.24217488426016642,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,141,18,1,5,0.7318445905880071,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,142,21,0,5,0.4333327459753491,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,143,19,0,4,-0.44178293805336577,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,145,23,1,3,-2.4516180622461254,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,146,20,1,4,-0.19498323445906862,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,147,18,0,5,0.11349910169607029,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,148,19,1,5,0.6386206060368567,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,149,20,0,4,0.002781557778362309,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,150,20,1,3,-1.5713899669726379,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,151,18,1,4,0.05376337499357775,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,153,19,1,4,-0.3568264321540482,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,154,19,0,5,0.6079233963205479,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,155,18,0,5,0.5204483452765271,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,156,19,1,6,1.6797049214085564,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,157,20,1,2,-2.93,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,158,18,1,3,-2.601733741622884,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,159,21,1,2,-2.93,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,160,19,0,4,-0.7218032785248942,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,161,22,1,4,-0.6029377296264283,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,162,19,1,5,0.8244875374622642,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,163,21,1,4,-0.6401333052664995,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,164,18,0,4,-0.544598070019856,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,165,18,1,3,-1.5623479478806257,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,166,21,1,4,-0.2648035491001792,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,167,18,1,4,-0.5484569581155665,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,168,18,1,5,0.2766517638415098,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,169,18,1,5,0.947725334377028,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,170,23,1,4,-0.7563800492091104,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,171,18,1,5,0.22377302105072885,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,172,19,1,5,0.5119481541728601,China,Wuhan,30.592850,114.305542
Shachat2021,Shachat 2021,CEPL,173,19,1,3,-2.4007464868412356,China,Wuhan,30.592850,114.305542
