"partid","location","rt_decision","H","R","R_sh1","R_sh2"
68012401,"Basel",7122.875,0.75,0.5,0.5,0.5
68012501,"Basel",8114.25,0.625,0.625,0.75,0.5
68012601,"Basel",8579.25,0.5,0.25,0.25,0.25
68012701,"Basel",15845.25,0.5,0.5,0.75,0.25
68012901,"Basel",10536,0.375,0.375,0.25,0.5
68013001,"Basel",9921.875,0.375,0.375,0.25,0.5
68013101,"Basel",16801.375,0.375,0.125,0.25,0
68013201,"Basel",7656.625,0.125,0.375,0.5,0.25
68013501,"Basel",11044.75,0.375,0.625,0.5,0.75
68013601,"Basel",14780.25,0.375,0.375,0.25,0.5
68013801,"Basel",12295.875,0.375,0.125,0,0.25
68013901,"Basel",18679.25,0.375,0.625,0.75,0.5
68014101,"Basel",10745.875,0.125,0.625,0.25,1
68014201,"Basel",8629.375,0.75,0.5,0.5,0.5
68014301,"Basel",7118.75,0.125,0.625,0.75,0.5
68014401,"Basel",8806.625,0.75,0.25,0.5,0
68014501,"Basel",4556.625,0.25,0.5,0.75,0.25
68014601,"Basel",15051.5,0.375,0.625,0.5,0.75
68014701,"Basel",22701.875,1,0.5,0.25,0.75
68014801,"Basel",18504.375,0.5,0.5,0.25,0.75
68014901,"Basel",8759.25,0.625,0.625,0.5,0.75
68015001,"Basel",6350.375,0.125,0.625,1,0.25
68015101,"Basel",11618.125,0.5,0.5,0.5,0.5
68015201,"Basel",6431.625,0.375,0.375,0.25,0.5
68015301,"Basel",3659.625,0.375,0.125,0,0.25
68015401,"Basel",11148.25,0.25,0.5,0.5,0.5
68015501,"Basel",8904,0.5,0.5,0.75,0.25
68015601,"Basel",10782.25,0.5,0.5,0.5,0.5
68015701,"Basel",7572.875,0.25,0.25,0,0.5
68015801,"Basel",8209.125,0.25,0.5,0.75,0.25
68015901,"Basel",13351.125,0.625,0.375,0.75,0
68016001,"Basel",8797.875,0.375,0.625,0.75,0.5
68016101,"Basel",11164,0.5,0.5,0.25,0.75
68016201,"Basel",22396.375,1,0.5,0.75,0.25
68016301,"Basel",14572.5,0.5,0.5,0.5,0.5
68016401,"Basel",9952.375,0.5,0.5,0.75,0.25
68016501,"Basel",9324.375,0.5,0.5,0.75,0.25
68016601,"Basel",8198.875,0.5,0.5,0.5,0.5
68016701,"Basel",8914.875,0.375,0.625,0.75,0.5
68016801,"Basel",5516.125,0.5,0.5,0.75,0.25
68016901,"Basel",6051.125,0.75,0.5,0.5,0.5
68017001,"Basel",10954,0.25,0.5,0.75,0.25
68017101,"Basel",10733.375,0.375,0.625,0.75,0.5
68017201,"Basel",11297.125,0.75,0.25,0.25,0.25
68017301,"Basel",7037.5,0.75,0.25,0.25,0.25
68017601,"Basel",12835.5,0.25,0.5,0.5,0.5
68017701,"Basel",13942.375,0.5,0.25,0.25,0.25
68017801,"Basel",17472,0.375,0.375,0,0.75
68017901,"Basel",12190.125,0.375,0.375,0.5,0.25
68018001,"Basel",11183.25,0.5,0.5,0.75,0.25
68018101,"Basel",8617.125,0.375,0.375,0.5,0.25
68018201,"Basel",30248.125,0.25,0.5,0.75,0.25
68018401,"Basel",17979.25,0.5,0.25,0,0.5
68018501,"Basel",28289.875,0.5,0.5,0.5,0.5
68018601,"Basel",8221.375,0.5,0,0,0
68018701,"Basel",8187.125,0.375,0.625,0.5,0.75
68018801,"Basel",6547.125,0.375,0.375,0.5,0.25
68018901,"Basel",11545.75,0.75,0.5,0.5,0.5
68019001,"Basel",12735.125,0.375,0.875,0.75,1
68019201,"Basel",14918.375,0.375,0.125,0,0.25
68019301,"Basel",13433.25,0.625,0.625,0.5,0.75
68019401,"Basel",13028.75,0,0.5,0.5,0.5
68019501,"Basel",16391.5,0.375,0.375,0.5,0.25
68019601,"Basel",6190.625,0.75,0.5,0.5,0.5
68019701,"Basel",11311.25,0.875,0.375,0.5,0.25
68019901,"Basel",8306,0.375,0.375,0.75,0
68020101,"Basel",12758.25,0.5,0.25,0.25,0.25
68020201,"Basel",9574.875,0.125,0.625,0.5,0.75
68020301,"Basel",7992.875,0.625,0.625,0.5,0.75
68020401,"Basel",5951.625,0.5,0.5,0.25,0.75
68020601,"Basel",24001.625,0.625,0.375,0.5,0.25
68020801,"Basel",9607.875,0.375,0.125,0.25,0
68020901,"Basel",15405,0.375,0.625,0.75,0.5
68021001,"Basel",7652.375,0.375,0.625,1,0.25
68021101,"Basel",7968.375,0.375,0.375,0.5,0.25
68021201,"Basel",8634.875,0.25,0.5,0.5,0.5
68021301,"Basel",12627.375,0.5,0.5,0.75,0.25
68021401,"Basel",6719,0.375,0.875,1,0.75
68021501,"Basel",16465.125,0.25,0.75,0.5,1
68021601,"Basel",6675.875,0.625,0.375,0.5,0.25
68021701,"Basel",19322,0.5,0.5,0.75,0.25
68021801,"Basel",10222.75,0.25,0.25,0.25,0.25
68021901,"Basel",9459.875,0.375,0.625,0.5,0.75
68022001,"Basel",9016.5,0.625,0.625,0.5,0.75
68022101,"Basel",14476.375,0.5,0.5,0.25,0.75
68022201,"Basel",5609,0.125,0.625,0.75,0.5
68022301,"Basel",10176.625,0.25,0.5,0.5,0.5
68022401,"Basel",28230.875,0.375,0.875,1,0.75
68022501,"Basel",8573,0.5,0.5,0.5,0.5
68022601,"Basel",8118.625,0.5,0.5,0.5,0.5
68022701,"Basel",13215,0.625,0.375,0.5,0.25
68022801,"Basel",13771,0.375,0.125,0,0.25
68022901,"Basel",6522.75,0.5,0.5,0.5,0.5
68023001,"Basel",6641.625,0.5,1,1,1
68023101,"Basel",4679.25,0.625,0.625,0.75,0.5
