"partid","gen_valence","gen_arousal","gen_arouspos","gen_arousneg","gen_happy","gen_afraid","gen_sad","gen_angry","gen_motivat","gen_concentr","gen_timepr","gen_tired","pre_valence","pre_arousal","pre_arouspos","pre_arousneg","pre_happy","pre_afraid","pre_sad","pre_angry","pre_motivat","pre_concentr","pre_timepr","pre_tired","mid1_valence","mid1_arousal","mid1_arouspos","mid1_arousneg","mid1_happy","mid1_afraid","mid1_sad","mid1_angry","mid1_motivat","mid1_concentr","mid1_timepr","mid1_tired","mid2_valence","mid2_arousal","mid2_arouspos","mid2_arousneg","mid2_happy","mid2_afraid","mid2_sad","mid2_angry","mid2_motivat","mid2_concentr","mid2_timepr","mid2_tired","post_valence","post_arousal","post_arouspos","post_arousneg","post_happy","post_afraid","post_sad","post_angry","post_motivat","post_concentr","post_timepr","post_tired"
68017201,60,59,65,25,65,20,40,34,53,72,30,56,83,70,57,9,66,0,0,20,40,71,0,70,63,71,38,36,63,0,9,18,71,67,37,59,78,68,65,3,69,3,0,0,68,91,22,19,91,12,18,12,67,7,21,20,27,64,72,97
68017301,78,51,70,40,69,17,37,40,79,55,62,70,69,19,61,16,60,8,4,19,88,81,0,99,21,71,30,69,43,8,39,91,80,88,6,78,60,24,34,15,69,18,18,56,78,68,13,96,60,46,39,41,71,23,41,29,30,63,29,96
68017601,92,35,71,9,83,27,11,28,81,69,30,54,79,22,76,0,86,0,1,1,77,80,0,34,34,70,55,55,56,13,26,54,79,75,14,27,48,58,48,45,47,5,24,53,37,37,22,75,59,35,37,17,59,10,24,47,30,34,59,60
68017701,79,71,79,19,99,35,11,10,100,89,80,50,79,31,80,11,80,0,0,11,100,100,10,0,79,69,79,10,83,0,0,16,88,91,19,0,81,8,66,0,70,0,0,7,96,81,0,15,85,15,66,0,95,1,10,0,41,92,90,47
68017801,79,31,70,10,89,49,5,31,85,95,35,60,80,5,65,0,69,0,0,0,100,100,0,81,80,39,79,0,87,0,0,0,79,80,0,64,21,59,46,40,40,0,0,48,59,66,0,46,70,10,59,0,75,0,0,0,60,69,0,44
68017901,60,34,32,41,61,20,16,42,73,67,34,63,51,20,26,10,20,0,1,18,72,69,11,85,74,84,36,64,67,13,11,65,29,27,19,10,41,65,29,21,34,57,11,62,34,26,17,70,65,79,78,31,36,61,10,35,74,18,85,36
68018001,61,60,69,52,49,66,49,38,85,60,88,31,88,22,61,0,61,20,7,6,68,71,37,67,44,60,50,56,46,41,50,57,58,53,43,47,58,34,42,30,63,11,31,17,72,71,14,65,55,16,24,15,61,24,22,24,11,26,70,99
68018101,89,11,85,8,91,6,3,53,81,71,0,61,81,9,91,2,80,11,5,48,88,89,1,40,29,21,20,88,10,61,66,71,31,19,61,23,74,75,93,24,71,10,3,23,64,90,1,24,79,35,77,20,71,17,12,25,65,67,21,60
68018201,62,56,64,60,63,38,42,60,87,59,70,64,80,69,62,20,59,43,34,13,91,71,26,41,66,69,59,35,67,69,64,61,100,85,60,61,32,29,33,40,34,29,47,46,59,54,54,81,65,31,34,40,40,44,39,41,25,34,84,82
68018401,40,50,39,20,41,11,59,40,41,41,10,40,55,26,53,4,53,5,25,0,69,69,20,64,67,35,58,0,54,0,24,0,58,43,0,39,36,62,34,60,45,11,18,46,43,51,13,4,55,48,45,41,55,12,10,11,40,36,74,63
68018501,62,38,39,34,65,35,32,20,67,39,55,59,65,59,56,19,63,35,16,6,63,63,21,37,43,40,23,58,55,12,29,30,38,45,16,55,55,33,41,28,64,9,14,20,40,60,31,63,61,60,34,58,56,10,11,23,61,60,68,62
68018601,71,37,70,25,70,27,58,40,81,60,59,59,71,19,60,1,69,0,11,8,42,60,20,60,72,27,73,17,68,0,15,0,77,72,15,61,62,58,69,4,67,29,29,28,56,60,21,77,64,21,60,18,62,0,25,9,41,67,21,89
68018701,40,40,50,10,60,69,60,0,80,80,70,19,40,10,69,0,80,20,0,0,100,100,0,0,60,69,71,21,41,1,20,0,89,100,1,9,30,69,32,59,27,0,1,69,60,38,60,60,60,0,40,0,59,0,0,0,69,69,0,21
68018801,79,40,80,20,85,29,10,21,89,80,65,30,79,40,80,10,79,0,30,0,69,21,0,10,89,80,80,30,75,0,0,70,81,21,0,11,21,69,21,61,21,0,0,71,30,40,0,21,91,70,80,11,89,0,0,0,10,0,40,20
68018901,91,24,85,30,80,60,24,31,80,71,68,61,75,9,53,9,86,0,13,2,99,82,0,31,35,51,0,0,51,0,0,41,36,83,0,100,74,28,71,3,67,0,0,0,79,68,2,28,90,6,80,8,74,2,0,8,72,100,93,0
68019001,85,68,86,17,73,64,31,26,72,42,93,24,70,30,44,6,56,15,5,5,82,82,7,68,43,69,45,14,45,7,15,64,91,86,3,78,92,62,61,7,81,8,7,8,92,97,6,56,36,13,42,7,41,40,42,43,73,75,6,93
68019201,80,30,80,0,100,20,0,11,80,70,90,70,79,60,70,1,79,1,0,0,99,79,0,71,61,60,59,0,61,0,1,0,69,82,0,71,87,24,68,0,80,0,0,0,80,79,0,21,71,14,40,1,69,1,1,0,31,37,1,15
68019301,69,59,79,70,59,30,60,69,69,40,31,30,70,31,70,9,69,59,40,10,60,89,19,19,19,69,17,70,30,55,66,74,41,72,56,16,58,57,63,56,60,13,16,38,38,67,62,82,45,72,48,67,46,60,44,60,26,27,95,94
68019401,85,64,95,0,95,11,0,9,80,100,30,20,100,31,60,0,100,0,0,0,89,100,0,0,89,59,39,0,80,0,5,2,79,80,0,20,75,74,37,12,74,0,0,21,58,66,62,32,68,35,26,54,75,0,0,42,10,34,0,100
68019501,69,30,31,11,80,49,11,40,58,89,59,20,89,59,62,10,100,10,0,0,69,100,0,0,29,70,21,70,60,0,0,68,52,81,0,0,53,31,52,54,79,0,0,0,30,41,36,52,66,12,0,1,54,1,0,1,22,70,99,76
68019601,75,0,53,52,75,9,2,60,90,60,64,49,69,0,56,0,63,0,0,1,83,83,0,59,58,15,55,49,68,0,0,57,93,96,0,38,60,10,63,9,54,0,0,13,96,96,0,0,61,1,56,0,61,0,0,0,74,71,0,57
68019701,85,49,69,6,86,14,16,20,91,70,71,46,59,20,39,10,20,0,0,0,76,87,9,61,78,21,62,7,70,0,0,0,87,67,0,53,54,14,13,13,44,0,0,0,71,62,11,41,70,43,0,0,42,0,0,0,42,46,0,58
68019901,76,38,68,19,74,31,11,10,80,74,50,66,79,50,69,11,70,10,0,0,81,90,0,0,40,29,19,66,33,0,0,73,89,79,0,0,67,28,30,9,68,0,3,0,81,62,0,9,61,15,20,0,63,0,14,0,36,39,5,30
68020101,45,30,51,51,59,71,54,51,30,39,49,75,57,48,49,6,51,53,22,21,70,62,3,69,53,56,58,53,53,40,34,39,58,60,13,47,56,56,53,47,53,15,21,23,63,60,25,56,53,37,48,47,48,28,19,20,55,30,71,60
