"","num_mem","P1_proj1","P1_proj2","P1_proj3","ins_g","mor_g","h_l","g_p","ta_1","ta_2","do_1","do_2","e_g","age","income","male","realestate","insurance","self_emp","deductible","inv_ris","valsavings"
"25",801574,50,30,20,2,1,NA,NA,NA,NA,2,2,NA,29,NA,0,0,0,0,0,NA,NA
"26",801599,50,40,10,1,2,NA,NA,11,11,NA,NA,NA,61,0.97,1,0,1,0,1,NA,NA
"27",801635,50,25,25,1,1,NA,400,NA,NA,NA,NA,NA,42,1,0,0,0,0,0,20,NA
"28",801657,33,33,34,5,2,NA,NA,NA,NA,5,5,NA,63,0.4,1,0,0,0,0,0,NA
"29",801876,100,0,0,1,1,NA,0,NA,NA,NA,NA,NA,43,0.8,0,0,0,0,1,NA,NA
"30",801965,33,33,34,3,3,NA,NA,2,7,NA,NA,NA,27,NA,0,NA,NA,0,0,NA,NA
"31",801968,100,0,0,5,2,NA,NA,NA,NA,2,0,NA,25,1.75,1,NA,NA,1,NA,NA,NA
"32",802032,30,30,40,5,2,NA,400,NA,NA,NA,NA,NA,66,2.15,1,0,1,0,0,0,31.497
"33",802145,33,33,34,1,1,11,NA,NA,NA,NA,NA,NA,68,2.25,1,0,0,0,0,0,NA
"34",802264,25,25,50,2,1,NA,NA,12,6,NA,NA,NA,26,NA,0,0,0,0,1,NA,0
"35",802377,50,50,0,3,1,NA,NA,NA,NA,6,4,NA,21,0,0,NA,NA,0,NA,0,NA
"36",802471,30,30,40,5,2,NA,NA,NA,NA,3,1,NA,77,0.698,0,0,0,0,0,NA,0
"37",802542,50,40,10,3,3,NA,NA,NA,NA,3,5,NA,65,NA,0,0,0,0,1,NA,NA
"38",802819,70,20,10,1,2,NA,100,NA,NA,NA,NA,NA,34,1.7,0,0,0,0,0,0,105.7
"39",802835,20,60,20,3,1,3,NA,NA,NA,NA,NA,NA,76,0.698,0,0,0,0,0,NA,NA
"40",802902,100,0,0,5,1,NA,NA,NA,NA,3,1,NA,32,1.4,0,NA,NA,0,0,NA,NA
"41",802911,40,60,0,5,1,NA,600,NA,NA,NA,NA,NA,65,1.1,1,0,0,0,0,NA,0.2
"42",802920,50,25,25,4,2,NA,NA,NA,NA,NA,NA,2,40,1.3,0,NA,NA,0,0,0,NA
"43",802981,10,50,40,1,1,6,NA,NA,NA,NA,NA,NA,54,0,0,0,0,0,1,0,2.894
"44",803143,50,20,30,5,2,NA,20,NA,NA,NA,NA,NA,74,0.75,0,0,0,0,NA,NA,NA
"45",803237,30,30,40,5,3,NA,NA,NA,NA,5,3,NA,71,0.75,0,0,0,0,0,NA,0
"46",803280,55,25,20,3,3,5,NA,NA,NA,NA,NA,NA,54,1.875,1,0,0,0,0,0,NA
"47",803366,0,50,50,3,2,NA,NA,NA,NA,NA,NA,3,71,1.468,1,NA,NA,0,0,0,NA
"48",803616,33,33,34,5,3,NA,NA,NA,NA,0,0,NA,45,2.2,1,0,0,0,NA,NA,0
"49",803674,100,0,0,5,2,NA,NA,1,1,NA,NA,NA,64,1.7,0,NA,NA,0,0,NA,NA
"50",803805,10,5,85,5,2,NA,500,NA,NA,NA,NA,NA,69,1.17,1,0,1,0,0,0,37.8
"51",803854,25,50,25,3,1,NA,NA,NA,NA,0,0,NA,45,0.99,0,NA,NA,0,0,NA,NA
"52",803872,50,50,0,2,1,NA,400,NA,NA,NA,NA,NA,18,0,0,0,0,0,1,NA,0.2
"53",803952,40,30,30,1,1,NA,NA,1,10,NA,NA,NA,54,0.805,0,0,0,0,0,NA,0
"54",804061,20,40,40,1,2,NA,NA,NA,NA,NA,NA,3,65,0,0,0,0,0,1,NA,NA
"55",804074,0,0,100,1,1,NA,NA,NA,NA,NA,NA,1,41,2.126,1,0,0,0,0,0,41.478
"56",804220,50,30,20,1,2,NA,NA,NA,NA,5,5,NA,33,1.2,0,1,0,0,1,0,24
"57",804251,20,40,40,4,2,NA,NA,NA,NA,NA,NA,4,65,1.567,1,0,1,0,0,0,42.742
"58",804489,30,40,30,4,2,NA,400,NA,NA,NA,NA,NA,57,NA,1,0,0,0,0,0,NA
"59",804495,75,0,25,1,1,NA,NA,NA,NA,1,1,NA,39,0.6,1,NA,NA,0,0,0,NA
"60",804556,60,10,30,5,1,9,NA,NA,NA,NA,NA,NA,38,0.8,1,NA,NA,0,0,NA,NA
"61",804562,45,30,25,1,2,NA,NA,10,14,NA,NA,NA,32,1.553,0,0,0,0,0,NA,0
"62",804565,20,30,50,1,1,NA,NA,7,1,NA,NA,NA,55,3.1,1,NA,NA,0,1,0,NA
"63",804626,10,50,40,1,2,NA,NA,NA,NA,5,4,NA,71,2.05,1,0,0,0,0,0,25
"64",804721,50,25,25,5,1,NA,NA,7,9,NA,NA,NA,67,1.6,1,0,0,0,0,0,1.5
"65",804763,100,0,0,3,1,NA,NA,NA,NA,7,4,NA,37,0.75,0,0,0,0,0,NA,0.2
"66",805007,25,40,35,5,2,11,NA,NA,NA,NA,NA,NA,58,2.3,1,0,1,0,1,50,6
"67",805169,80,10,10,3,3,NA,400,NA,NA,NA,NA,NA,39,0.75,1,0,0,1,NA,NA,NA
"68",805258,50,25,25,5,2,NA,NA,NA,NA,2,1,NA,69,0.9,0,0,0,0,0,NA,NA
"69",805273,50,40,10,1,1,NA,NA,12,12,NA,NA,NA,46,0.5,0,0,0,0,0,NA,10
"70",805319,50,30,20,3,2,NA,NA,NA,NA,NA,NA,4,47,1.85,1,0,0,0,0,NA,NA
"71",805416,100,0,0,1,1,NA,NA,NA,NA,NA,NA,1,55,2.426,1,NA,NA,0,NA,NA,NA
"72",805419,50,25,25,5,2,NA,NA,6,9,NA,NA,NA,83,0.698,0,0,0,0,0,NA,17
"73",805471,60,40,0,3,2,NA,NA,NA,NA,6,5,NA,19,0,0,0,0,0,0,0,NA
"74",805621,50,35,15,2,1,NA,NA,NA,NA,5,3,NA,24,0,0,0,0,0,NA,NA,0
"75",805642,0,0,100,1,3,NA,NA,NA,NA,7,8,NA,22,0.25,1,0,0,0,NA,0,3
"76",805761,50,50,0,1,2,NA,NA,8,4,NA,NA,NA,52,2.97,1,0,1,0,0,0,12
"77",805795,80,10,10,5,1,NA,NA,NA,NA,NA,NA,1,46,0.666,0,NA,NA,0,NA,NA,NA
"78",806008,40,18,42,1,2,NA,NA,NA,NA,NA,NA,1,60,1.189,1,0,0,0,0,NA,NA
"79",806082,100,0,0,1,1,11,NA,NA,NA,NA,NA,NA,60,0,0,0,0,0,0,0,90
"80",806652,25,50,25,4,2,NA,NA,4,4,NA,NA,NA,64,1.305,1,0,0,0,1,NA,0
"81",806732,50,30,20,1,1,NA,20,NA,NA,NA,NA,NA,77,0.673,0,0,0,0,0,0,0
"82",806793,50,25,25,1,1,NA,NA,6,14,NA,NA,NA,44,2.1,0,0,0,0,1,NA,70
"83",806811,50,25,25,3,3,NA,NA,9,9,NA,NA,NA,65,1.647,1,0,1,0,0,0,21
"84",806884,20,30,50,1,1,NA,NA,NA,NA,2,3,NA,71,1.015,0,0,0,0,0,100,NA
"85",806985,30,30,40,5,2,NA,NA,6,8,NA,NA,NA,36,0,0,0,0,0,1,NA,0
"86",807015,50,25,25,3,1,9,NA,NA,NA,NA,NA,NA,61,2,1,0,0,1,0,NA,NA
"87",807040,20,35,45,5,2,NA,NA,NA,NA,5,5,NA,55,0.75,1,0,0,0,NA,NA,0
"88",807061,50,35,15,5,1,NA,NA,NA,NA,NA,NA,1,59,0,0,0,0,0,0,NA,NA
"89",807171,20,30,50,2,1,NA,NA,NA,NA,3,3,NA,33,2.025,1,0,0,0,1,NA,-4
"90",807247,0,70,30,1,2,NA,NA,15,1,NA,NA,NA,75,0.591,0,0,1,0,0,0,5.5
"91",807409,20,60,20,1,3,5,NA,NA,NA,NA,NA,NA,20,0,1,0,0,0,0,0,15
"92",807421,33,33,34,3,2,NA,NA,7,7,NA,NA,NA,89,1.25,0,0,0,0,NA,NA,NA
"93",807479,10,40,50,4,2,NA,NA,NA,NA,NA,NA,3,74,0.7,0,0,0,0,NA,NA,NA
"94",807580,60,30,10,3,3,NA,NA,12,12,NA,NA,NA,62,1.25,1,0,0,0,0,0,NA
"95",807641,10,40,50,2,2,5,NA,NA,NA,NA,NA,NA,48,0.903,0,0,0,0,0,0,NA
"96",807852,50,0,50,1,2,NA,NA,4,1,NA,NA,NA,67,1.5,0,0,0,0,0,NA,40
"97",807992,100,0,0,5,1,NA,NA,NA,NA,NA,NA,1,72,2.9,1,NA,NA,0,0,0,NA
"98",808035,50,25,25,1,1,6,NA,NA,NA,NA,NA,NA,56,0.75,0,0,0,0,NA,NA,NA
"99",808120,50,25,25,1,1,11,NA,NA,NA,NA,NA,NA,49,2.1,0,0,0,0,0,NA,18
"100",808197,10,70,20,5,3,NA,NA,NA,NA,7,6,NA,20,1.15,1,0,0,0,0,0,9
"101",808352,50,30,20,2,2,NA,NA,NA,NA,NA,NA,4,61,1.732,0,0,1,0,0,10,35.5
"102",808471,40,30,30,5,2,NA,NA,NA,NA,5,5,NA,57,1.56,0,0,0,0,0,NA,NA
"103",808587,50,50,0,2,1,NA,800,NA,NA,NA,NA,NA,82,2.161,1,0,0,0,0,0,17.111
"104",808590,100,0,0,1,1,NA,NA,NA,NA,NA,NA,1,75,2.2,0,0,0,0,1,NA,82
"105",808731,30,60,10,3,2,7,NA,NA,NA,NA,NA,NA,43,2.24,1,0,1,0,1,0,NA
"106",808743,25,25,50,4,1,NA,NA,NA,NA,NA,NA,1,65,NA,1,0,0,1,0,0,NA
"107",808843,25,35,40,5,2,NA,NA,6,7,NA,NA,NA,60,1.9,1,0,0,0,0,0,NA
"108",808883,25,25,50,5,3,NA,450,NA,NA,NA,NA,NA,68,3.027,1,NA,NA,0,0,90,NA
"109",808972,50,25,25,4,2,NA,NA,1,1,NA,NA,NA,60,0,0,1,1,0,0,5,NA
"110",809375,25,25,50,5,1,NA,NA,NA,NA,NA,NA,3,41,2.8,1,0,1,0,NA,NA,60
"111",809487,0,0,100,3,2,NA,NA,12,4,NA,NA,NA,19,0,0,NA,NA,0,NA,NA,NA
"112",809542,50,25,25,5,1,NA,400,NA,NA,NA,NA,NA,51,0.607,0,0,0,0,0,0,NA
"113",809722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,2.13,0,0,0,0,0,NA,6.55
"114",809814,20,20,60,1,1,NA,NA,NA,NA,NA,NA,1,18,0.1,0,0,0,0,NA,NA,NA
"115",809838,80,15,5,1,1,NA,NA,NA,NA,NA,NA,1,44,0.5,0,0,1,1,0,NA,NA
"116",810086,50,30,20,1,1,NA,NA,1,15,NA,NA,NA,54,1.665,1,0,0,0,0,0,6.6
"117",810095,33,33,34,3,2,NA,NA,NA,NA,5,5,NA,55,2.25,1,0,0,1,1,NA,0
"118",810192,40,40,20,2,3,NA,10,NA,NA,NA,NA,NA,40,0,0,NA,NA,0,1,NA,NA
"119",810214,100,0,0,2,1,NA,NA,NA,NA,0,0,NA,42,1.25,0,NA,NA,0,0,NA,NA
"120",810394,10,10,80,5,1,NA,NA,NA,NA,NA,NA,1,32,1.25,0,NA,NA,0,NA,NA,NA
"121",810400,50,35,15,5,1,8,NA,NA,NA,NA,NA,NA,29,1.065,0,0,0,0,0,0,NA
"122",810424,100,0,0,5,1,NA,NA,NA,NA,NA,NA,1,68,1.443,0,NA,NA,0,0,NA,NA
"123",810485,40,40,20,1,2,NA,NA,NA,NA,5,0,NA,69,2.093,0,NA,NA,0,NA,NA,NA
"124",810604,100,0,0,1,1,NA,800,NA,NA,NA,NA,NA,66,0.75,0,0,0,0,0,0,0
"125",810617,80,10,10,1,2,8,NA,NA,NA,NA,NA,NA,58,0,0,NA,NA,0,NA,NA,NA
"126",810626,60,40,0,3,1,NA,400,NA,NA,NA,NA,NA,43,1.5,0,0,0,0,0,0,NA
"127",810971,60,30,10,1,1,NA,NA,15,15,NA,NA,NA,66,2.1,1,0,1,0,1,0,90
"128",811026,100,0,0,5,1,NA,0,NA,NA,NA,NA,NA,68,1.25,0,NA,NA,0,NA,NA,NA
"129",811044,50,30,20,1,1,5,NA,NA,NA,NA,NA,NA,61,0.9,0,0,0,0,0,NA,27
"130",811199,30,50,20,5,2,4,NA,NA,NA,NA,NA,NA,61,1.3,1,0,0,0,0,NA,0
"131",811297,20,40,40,5,1,NA,NA,NA,NA,NA,NA,1,61,NA,0,0,1,0,NA,NA,NA
"132",811309,100,0,0,1,3,NA,200,NA,NA,NA,NA,NA,76,1.25,0,NA,NA,0,0,NA,NA
"133",811386,50,25,25,4,2,NA,400,NA,NA,NA,NA,NA,70,0.698,0,0,0,0,0,NA,13
"134",811410,50,25,25,5,2,NA,NA,12,8,NA,NA,NA,57,0,0,0,0,0,0,NA,0.165
"135",811456,34,33,33,1,2,NA,400,NA,NA,NA,NA,NA,42,2.25,1,0,0,0,0,0,NA
"136",811557,20,50,30,1,2,NA,NA,NA,NA,NA,NA,4,60,4.1,1,1,1,0,1,0,47.429
"137",811688,40,40,20,1,1,NA,600,NA,NA,NA,NA,NA,60,2.742,1,1,1,1,0,NA,NA
"138",811749,40,50,10,1,1,7,NA,NA,NA,NA,NA,NA,25,1.625,1,0,0,0,1,0,20
"139",812002,50,40,10,2,2,NA,NA,10,1,NA,NA,NA,63,0.307,0,0,0,0,0,NA,NA
"140",812011,50,40,10,2,1,9,NA,NA,NA,NA,NA,NA,18,0.28,0,NA,NA,0,NA,0,NA
"141",812042,0,100,0,5,2,NA,NA,NA,NA,5,5,NA,64,1.8,1,0,0,0,0,0,45
"142",812057,10,30,60,5,2,NA,NA,8,11,NA,NA,NA,68,1.75,1,0,0,0,1,NA,NA
"143",812063,50,30,20,1,1,NA,NA,NA,NA,NA,NA,6,45,3.95,1,0,0,0,0,5,156
"144",812179,50,25,25,1,1,NA,NA,NA,NA,6,2,NA,44,1.094,0,NA,NA,0,0,0,NA
"145",812243,0,0,100,4,2,NA,NA,NA,NA,NA,NA,5,58,0,0,0,0,0,0,0,35
"146",812249,100,0,0,1,1,NA,NA,1,1,NA,NA,NA,70,2.45,0,0,0,0,0,0,14.617
"147",812313,15,75,10,3,2,NA,NA,NA,NA,NA,NA,6,29,1,0,0,0,0,0,0,-12
"148",812319,35,55,10,1,1,NA,NA,NA,NA,NA,NA,1,56,1.2,0,0,0,0,0,0,0
"149",812380,20,30,50,3,2,NA,0,NA,NA,NA,NA,NA,38,1.25,1,NA,NA,0,1,0,NA
"150",812518,30,30,40,5,1,NA,NA,NA,NA,NA,NA,1,49,0.75,1,0,0,0,0,NA,NA
"151",812551,60,20,20,3,2,4.5,NA,NA,NA,NA,NA,NA,31,1.063,1,NA,NA,0,NA,NA,NA
"152",812615,40,50,10,2,2,NA,NA,13,11,NA,NA,NA,45,2.4,0,0,1,1,0,NA,NA
"153",812734,0,0,100,1,2,5,NA,NA,NA,NA,NA,NA,58,2.73,1,0,0,0,1,0,74.9
"154",812786,70,20,10,1,3,NA,NA,11,2,NA,NA,NA,44,2.4,1,0,0,0,0,50,35
"155",812878,30,50,20,4,2,NA,NA,NA,NA,5,4,NA,65,0.8,0,NA,NA,0,0,NA,NA
"156",812884,0,0,100,1,3,NA,800,NA,NA,NA,NA,NA,78,2.5,0,NA,NA,1,NA,NA,NA
"157",813183,0,50,50,1,1,NA,500,NA,NA,NA,NA,NA,62,0,0,0,0,0,0,NA,0
"158",813201,100,0,0,1,1,NA,NA,NA,NA,1,1,NA,67,1.558,1,0,0,0,0,0,61.245
"159",813403,20,30,50,3,2,NA,400,NA,NA,NA,NA,NA,63,0,0,0,1,0,0,NA,37
"160",813485,70,20,10,5,1,NA,NA,14,13,NA,NA,NA,57,0.6,1,0,0,0,0,NA,0.51
"161",813558,60,20,20,2,1,NA,NA,9,1,NA,NA,NA,49,1.238,0,NA,NA,0,1,NA,NA
"162",813626,30,35,35,5,2,NA,NA,9,8,NA,NA,NA,66,2.368,1,0,1,0,0,NA,NA
"163",813629,40,20,40,3,1,NA,NA,3,10,NA,NA,NA,46,1.75,1,0,1,0,1,NA,NA
"164",813861,40,40,20,2,2,NA,NA,NA,NA,NA,NA,3,44,0.56,0,0,0,0,1,NA,0.8
"165",814096,20,40,40,4,1,NA,NA,NA,NA,0,0,NA,79,0.68,0,0,0,0,0,0,0
"166",814135,50,35,15,1,1,NA,NA,NA,NA,5,5,NA,30,1.75,1,NA,NA,0,NA,NA,NA
"167",814160,50,50,0,2,1,7,NA,NA,NA,NA,NA,NA,47,2.3,1,NA,NA,0,0,NA,NA
"168",814239,0,0,100,1,1,NA,800,NA,NA,NA,NA,NA,33,1.75,0,0,0,0,NA,NA,NA
"169",814724,20,20,60,3,1,NA,NA,NA,NA,2,1,NA,63,1.86,1,0,0,0,1,0,235
"170",814782,33,33,34,5,1,NA,NA,1,1,NA,NA,NA,36,0.5,1,0,0,1,1,0,NA
"171",814797,0,100,0,5,3,1,NA,NA,NA,NA,NA,NA,86,0.991,0,0,0,0,1,NA,NA
"172",814849,60,30,10,5,2,NA,800,NA,NA,NA,NA,NA,29,1.97,0,0,0,0,1,0,NA
"173",814892,20,40,40,2,1,NA,NA,NA,NA,2,2,NA,27,NA,0,NA,NA,0,1,NA,NA
"174",814999,0,0,100,1,2,5,NA,NA,NA,NA,NA,NA,49,3,1,NA,NA,1,NA,NA,NA
"175",815066,50,25,25,2,2,NA,NA,NA,NA,NA,NA,5,46,0,0,0,0,0,0,NA,0
"176",815222,60,40,0,4,1,NA,NA,NA,NA,2,1,NA,48,0,0,0,0,0,1,0,2
"177",815249,50,25,25,5,2,NA,800,NA,NA,NA,NA,NA,18,0,1,0,0,0,0,0,0
"178",815283,50,25,25,1,1,5,NA,NA,NA,NA,NA,NA,58,3,1,NA,NA,0,NA,NA,NA
"179",815451,50,50,0,2,2,NA,NA,NA,NA,NA,NA,3,61,1.36,1,0,0,0,NA,NA,NA
"180",815487,40,40,20,3,2,NA,NA,8,6,NA,NA,NA,71,NA,0,NA,NA,0,0,NA,NA
"181",815646,50,35,15,1,2,5,NA,NA,NA,NA,NA,NA,61,0.75,0,0,0,1,0,NA,NA
"182",815780,50,30,20,1,2,6,NA,NA,NA,NA,NA,NA,51,2.25,1,NA,NA,0,NA,NA,NA
"183",815844,30,60,10,1,2,NA,100,NA,NA,NA,NA,NA,59,3.6,0,0,1,1,0,20,NA
"184",815927,15,70,15,2,1,NA,400,NA,NA,NA,NA,NA,18,0.13,1,NA,NA,0,0,NA,NA
"185",815951,20,45,35,2,2,NA,NA,NA,NA,NA,NA,1,32,2.7,1,0,0,0,NA,NA,6.5
"186",815957,50,50,0,4,2,NA,NA,NA,NA,NA,NA,3,21,0,0,0,0,0,0,NA,0.9
"187",816012,20,30,50,1,1,NA,NA,NA,NA,3,2,NA,68,2.25,1,NA,NA,0,0,0,NA
"188",816128,0,80,20,1,2,NA,NA,1,15,NA,NA,NA,37,1.7,0,NA,NA,0,0,NA,NA
"189",816256,0,50,50,1,1,7,NA,NA,NA,NA,NA,NA,59,1.868,0,0,0,0,1,0,90
"190",816302,50,20,30,1,3,7,NA,NA,NA,NA,NA,NA,61,2.969,1,NA,NA,0,1,NA,NA
"191",816400,30,50,20,1,1,NA,NA,15,1,NA,NA,NA,39,0,0,NA,NA,0,NA,NA,NA
"192",816461,40,30,30,5,2,NA,NA,NA,NA,NA,NA,4,61,1.7,0,0,0,0,0,50,25
"193",816485,0,50,50,1,1,NA,NA,1,1,NA,NA,NA,65,1.68,1,0,1,0,0,0,71.354
"194",816525,60,20,20,5,2,NA,400,NA,NA,NA,NA,NA,59,1.2,0,0,0,0,0,0,NA
"195",816680,100,0,0,2,2,NA,NA,NA,NA,3,3,NA,45,0,0,0,1,0,0,20,NA
"196",816836,6,90,4,4,2,4,NA,NA,NA,NA,NA,NA,72,1.42,1,0,0,0,0,NA,NA
"197",816854,50,25,25,2,2,NA,400,NA,NA,NA,NA,NA,39,1.45,0,0,1,0,0,NA,1.5
"198",817074,25,50,25,3,2,NA,NA,NA,NA,NA,NA,4,67,2.85,1,0,0,0,0,0,39
"199",817160,100,0,0,1,1,NA,NA,NA,NA,2,1,NA,56,2.49,1,0,0,0,0,0,NA
"200",817303,20,50,30,2,2,NA,NA,NA,NA,NA,NA,4,61,0,0,NA,NA,0,NA,NA,NA
"201",817346,50,25,25,4,1,NA,NA,NA,NA,3,3,NA,66,0.845,0,NA,NA,0,0,NA,NA
"202",817483,33,33,34,1,2,NA,NA,8,8,NA,NA,NA,51,1,0,0,0,0,0,0,NA
"203",817529,100,0,0,5,1,NA,NA,NA,NA,3,1,NA,52,0.9,0,NA,NA,0,0,NA,NA
"204",817663,25,25,50,4,2,NA,NA,NA,NA,NA,NA,1,55,2,1,0,0,0,0,0,2.3
"205",817950,100,0,0,4,1,NA,NA,NA,NA,NA,NA,2,64,2.56,1,0,1,0,0,0,18.443
"206",818017,70,30,0,2,1,NA,NA,8,10,NA,NA,NA,47,1.6,0,NA,NA,0,0,0,NA
"207",818038,60,20,20,4,1,NA,NA,1,15,NA,NA,NA,31,0.165,0,0,0,0,0,NA,NA
"208",818112,50,25,25,5,2,NA,NA,NA,NA,NA,NA,2,61,2.2,0,0,0,0,1,90,NA
"209",818179,50,50,0,4,2,NA,NA,NA,NA,4,3,NA,58,2.2,1,0,0,0,0,NA,0
"210",818270,30,30,40,1,1,NA,NA,NA,NA,3,3,NA,63,1.7,1,0,0,0,0,NA,5
"211",818356,40,35,25,3,2,NA,NA,NA,NA,NA,NA,5,75,1.003,0,0,0,0,0,NA,NA
"212",818649,36,32,32,3,2,NA,NA,NA,NA,5,6,NA,28,0.991,0,0,0,0,1,NA,0
"213",818896,25,37,38,1,3,11,NA,NA,NA,NA,NA,NA,29,0.25,0,0,0,0,NA,NA,5
"214",818899,0,40,60,3,2,NA,NA,NA,NA,8,8,NA,21,0.35,1,0,0,0,NA,0,0.78
"215",818927,0,100,0,5,2,NA,NA,NA,NA,NA,NA,1,56,1.6,1,0,0,0,0,0,NA
"216",819012,30,35,35,5,2,NA,NA,NA,NA,5,5,NA,62,0,1,0,0,0,NA,NA,0
"217",819049,60,25,15,4,1,7,NA,NA,NA,NA,NA,NA,25,1.8,0,0,0,0,1,0,5
"218",819076,33,50,17,1,2,NA,NA,NA,NA,NA,NA,5,53,2.25,1,0,0,0,0,0,10
"219",819131,25,50,25,5,1,NA,NA,NA,NA,1,1,NA,63,0.201,0,NA,NA,0,0,0,NA
"220",819183,60,40,0,1,1,NA,NA,12,15,NA,NA,NA,22,NA,1,0,0,0,NA,0,NA
"221",819244,100,0,0,5,2,NA,NA,13,10,NA,NA,NA,18,0,0,0,0,0,0,NA,NA
"222",819311,30,35,35,4,1,NA,NA,9,11,NA,NA,NA,69,1.75,1,0,1,0,1,NA,NA
"223",819406,50,25,25,5,2,NA,NA,NA,NA,NA,NA,1,36,1.24,0,0,0,0,0,NA,NA
"224",819415,20,30,50,1,2,NA,NA,15,15,NA,NA,NA,55,1.4,0,0,1,1,0,20,1.234
"225",819433,30,40,30,1,2,NA,NA,1,1,NA,NA,NA,67,1.25,0,0,0,0,0,0,8
"226",819464,80,10,10,1,2,NA,NA,10,11,NA,NA,NA,45,1.25,1,NA,NA,0,0,NA,NA
"227",819476,100,0,0,2,2,NA,NA,NA,NA,6,4,NA,28,NA,0,0,0,0,NA,NA,2
"228",819479,20,60,20,2,1,NA,NA,NA,NA,NA,NA,1,49,0.25,0,0,0,0,1,NA,0
"229",819515,50,30,20,4,2,NA,NA,NA,NA,5,6,NA,60,0.869,0,1,0,0,0,NA,16.5
"230",819671,30,30,40,4,1,NA,NA,2,2,NA,NA,NA,43,NA,1,NA,NA,1,1,NA,NA
"231",820172,100,0,0,5,1,NA,NA,NA,NA,2,2,NA,53,NA,1,0,0,0,1,0,141.576
"232",820471,20,60,20,4,1,NA,NA,NA,NA,3,2,NA,31,0.75,0,0,0,0,0,NA,NA
"233",820556,20,40,40,5,1,11,NA,NA,NA,NA,NA,NA,62,1.9,0,0,0,0,1,NA,30
"234",820755,30,70,0,1,1,NA,800,NA,NA,NA,NA,NA,41,2.75,1,0,0,0,0,NA,8
"235",820767,40,60,0,1,1,NA,NA,NA,NA,2,1,NA,61,2.7,1,0,0,0,0,30,90
"236",821069,60,20,20,4,1,NA,200,NA,NA,NA,NA,NA,29,NA,1,0,0,0,0,0,NA
"237",821157,50,50,0,1,1,5,NA,NA,NA,NA,NA,NA,47,0,0,0,0,0,0,0,NA
"238",821176,50,50,0,1,1,NA,NA,NA,NA,NA,NA,6,54,1.2,0,NA,NA,0,0,NA,NA
"239",821212,100,0,0,2,1,10,NA,NA,NA,NA,NA,NA,49,1.25,0,0,0,0,0,NA,36.086
"240",821432,12,40,48,1,2,NA,800,NA,NA,NA,NA,NA,54,NA,1,NA,NA,0,NA,NA,NA
