"location","partid","showup","version","sex","age","session","done","retest","chipped"
"Basel",64069501,1,"final","female",22,"ngblbkeij2plejjnjo7o629ch1",1,0,1
"Basel",64069601,1,"final","female",24,"f3q12ftsrh4auf5c8cd72cqtm5",1,0,1
"Basel",64070201,1,"final","female",27,"kdn3k8vp666c6d52pvde57h6f3",1,0,1
"Basel",64070601,1,"final","female",24,"jvaou6idjv9k4oh16iiv2259l4",1,0,1
"Basel",64071401,1,"final","female",33,"26fgm8d9ntd4fr7cupahh3n0h5",1,0,1
"Basel",64072601,1,"final","female",23,"mtbqks4bhubbvvv695gft4e0p4",1,0,1
"Basel",64072701,1,"final","male",33,"6rb5mcutrajkefmcfn66utit13",1,0,1
"Basel",64072901,1,"final","male",25,"d412liehj1e97h6fodkm5fo7v0",1,0,1
"Basel",64073001,1,"final","female",28,"8k1745hojne22ma5he1q82no97",1,0,1
"Basel",64073201,1,"final","female",25,"i5jveh8gsq28mssps1mlksps26",1,0,1
"Basel",64073501,1,"final","male",28,"hst8ja8rkupr61fkqu2f129ao1",1,0,1
"Basel",64075601,1,"final","female",25,"od7p3fj8pdfh3cqt9poaqutqs5",1,0,1
"Basel",64075801,1,"final","female",26,"fmsfjra57rbjoksgk3g5e5qqa5",1,0,1
"Basel",64076301,1,"final","female",26,"pf16sll16ke1hvlbr0gd3ao7s3",1,0,1
"Basel",64079401,1,"final","male",24,"fp38pndp9hc15dvo3ignjmgga5",1,0,0
"Basel",64079601,1,"final","male",25,"84cicnkhfg48v35mond1m6a996",1,0,1
"Basel",64079801,1,"final","male",22,"u931cl6j400k5o1b20hq7lh245",1,0,1
"Basel",64080101,1,"final","male",25,"kpgh9mac23c1qus0pjlctgkq50",1,0,1
"Basel",64081701,1,"final","male",27,"b4638rnioaigs6n8uqqiltkgr2",1,0,1
"Basel",64082001,1,"final","female",22,"4c0kvdjor1f35285uquptnbb33",1,0,1
"Basel",64082301,1,"final","female",25,"7b5g7atsrvhfqkiu4uh594ndd3",1,0,1
"Basel",64083001,1,"final","female",25,"9g120aq2aq89qgrja7mvfrc5i1",1,0,1
"Basel",64083901,1,"final","male",24,"0vk5r00tl72envlv66khb3osv2",1,0,1
"Basel",64084601,1,"final","male",27,"kkpk8q6ugk463i7pcvue6nkij7",1,0,1
"Basel",64085501,1,"final","male",33,"a07g67joc0gc8b7ic5a8itj6u3",1,0,0
"Basel",64086301,1,"final","female",24,"b781ap3ngjdkchc6srdrllnfv5",1,0,1
"Basel",64088601,1,"final","female",27,"s9g8vkm9jiqktk7c4pb1uc5gi4",1,0,1
"Basel",64089401,1,"final","female",25,"i65uj8kf1tjn0m3jdqfds5qse4",1,0,1
