"age","sex","BARTp1","BARTp2","BARTp3","BARTp4","BARTp5","BARTp6","BARTp7","BARTp8","BARTp9","BARTp10","BARTp11","BARTp12","BARTp13","BARTp14","BARTp15","BARTp16","BARTp17","BARTp18","BARTp19","BARTp20","BARTp21","BARTp22","BARTp23","BARTp24","BARTp25","BARTp26","BARTp27","BARTp28","BARTp29","BARTp30","BARTe1","BARTe2","BARTe3","BARTe4","BARTe5","BARTe6","BARTe7","BARTe8","BARTe9","BARTe10","BARTe11","BARTe12","BARTe13","BARTe14","BARTe15","BARTe16","BARTe17","BARTe18","BARTe19","BARTe20","BARTe21","BARTe22","BARTe23","BARTe24","BARTe25","BARTe26","BARTe27","BARTe28","BARTe29","BARTe30","cb"
27,1,7,6,15,18,15,27,20,22,25,19,28,26,10,18,10,26,24,27,34,22,15,13,10,26,22,6,25,30,28,23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19,1,2,4,31,19,45,4,10,24,12,40,12,40,40,20,32,30,24,19,11,36,3,41,6,52,9,12,41,11,19,25,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1
23,1,10,20,20,24,26,30,24,26,30,30,12,19,18,16,15,20,9,7,9,18,19,10,11,5,20,10,30,50,30,29,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
25,1,36,30,40,24,33,30,25,10,8,7,4,26,34,6,4,30,29,20,25,24,32,8,16,21,17,10,13,19,22,20,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1
18,1,6,13,8,9,27,12,2,7,10,16,10,16,12,3,15,15,14,2,20,6,4,11,7,16,3,8,3,8,4,9,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
21,1,15,19,36,22,52,43,5,14,17,15,11,50,14,39,26,35,16,11,5,12,14,31,24,11,3,6,32,26,9,44,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1
20,2,20,15,22,24,20,20,20,27,20,22,20,20,11,22,11,20,20,15,20,20,20,20,4,8,24,22,22,34,22,22,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1
22,2,8,2,8,16,1,12,8,22,11,13,14,8,7,1,14,26,12,18,9,9,20,6,24,18,17,17,12,26,12,9,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
26,1,32,17,12,21,50,26,47,11,35,27,30,21,37,33,23,26,36,43,8,44,48,30,2,3,58,46,32,50,40,13,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1
20,1,20,8,1,18,13,12,28,20,24,6,13,2,24,26,1,16,19,17,1,10,20,24,17,2,35,35,25,31,26,28,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1
33,2,21,40,28,16,2,21,24,40,40,41,2,38,21,9,21,40,36,17,18,36,31,32,31,31,21,21,12,32,27,36,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1
20,1,1,13,8,16,19,17,11,2,11,15,9,13,11,12,8,23,8,18,21,19,1,12,14,5,25,26,5,4,10,21,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1
24,1,28,25,5,13,45,25,26,2,23,22,25,26,14,24,25,25,25,32,20,25,25,25,5,28,20,25,22,25,25,25,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
23,2,10,20,13,10,7,31,27,11,15,12,21,10,18,15,20,19,10,14,20,20,7,10,11,20,29,22,5,20,19,27,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
23,1,10,19,3,16,9,24,16,12,15,1,15,20,24,15,10,10,20,13,13,10,15,12,14,15,20,13,20,21,20,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
23,1,20,20,20,22,3,6,3,2,10,24,24,18,24,25,26,24,22,26,5,26,24,14,21,28,20,2,20,1,20,12,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
30,1,5,0,4,2,2,4,4,4,6,4,4,4,0,0,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,2,27,55,31,26,22,34,32,6,23,32,33,31,33,38,35,27,26,28,30,28,8,25,31,33,18,12,35,23,28,8,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1
22,2,26,12,1,28,25,22,26,25,26,1,26,30,30,30,32,30,10,28,12,30,28,30,30,15,7,19,30,24,6,25,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1
20,1,22,31,10,20,62,12,35,22,35,31,27,32,37,20,6,9,6,15,21,17,28,2,3,6,42,19,7,1,27,12,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1
23,1,26,6,23,8,36,22,16,16,16,22,15,19,19,20,9,17,12,14,10,18,18,17,11,16,16,18,16,16,26,16,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
26,1,15,16,21,15,8,14,18,35,10,25,23,14,15,17,15,21,27,13,10,19,21,32,1,24,15,21,19,10,25,20,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
24,2,32,38,6,40,24,26,12,16,1,4,46,27,37,12,30,0,11,38,49,5,11,35,42,33,51,26,44,17,32,30,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
