"partid","MTr","MTr.1","MTr.2","MTr.3","dif.perc.bound","dif.amb.fx.bound","dif.risk.fx.bound","dif.amb.fx.bias","dif.risk.fx.bias"
64075601,0.70273631840796,0.686567164179104,0.701492537313433,0.720149253731344,0.17388,0.0030795,-0.033071,0.28797,0.28797
64075801,0.738805970149254,0.735074626865671,0.727611940298508,0.753731343283582,0.16342,0.0075006,-0.0095412,-0.023534,-0.023534
64076301,0.751243781094527,0.723880597014925,0.731343283582089,0.798507462686567,0.29279,-0.048914,-0.090298,0.053649,0.053649
64079401,0.711442786069652,0.75,0.694029850746269,0.690298507462687,0.19859,-0.028218,-0.019107,-0.11703,-0.11703
64079601,0.743781094527363,0.735074626865671,0.757462686567164,0.738805970149254,0.16487,0.11868,-0.021802,0.17174,0.17174
64079801,0.735074626865671,0.697761194029851,0.791044776119403,0.716417910447761,0.17543,0.01352,-0.040492,-0.077525,-0.077525
64080101,0.731343283582089,0.716417910447761,0.746268656716418,0.731343283582089,0.33684,-0.084981,0.046381,0.022767,0.022767
64081701,0.830845771144278,0.723880597014925,0.82089552238806,0.94776119402985,0.22377,-0.045864,0.02473,-0.065859,-0.065859
64082001,0.74502487562189,0.731343283582089,0.753731343283582,0.75,0.35591,-0.14012,-0.022462,0.12734,0.12734
64082301,0.722636815920398,0.712686567164179,0.75,0.705223880597015,0.21828,-0.0084593,0.091965,0.13793,0.13793
64083001,0.731343283582089,0.757462686567164,0.712686567164179,0.723880597014925,0.14296,0.053143,-0.016322,0.13294,0.13294
64083901,0.733830845771144,0.727611940298508,0.731343283582089,0.742537313432836,0.31586,-0.09563,-0.051792,0.068206,0.068206
64084601,0.735074626865671,0.731343283582089,0.738805970149254,0.735074626865671,0.2289,-0.0275,-0.028474,0.013301,0.013301
64085501,0.711442786069652,0.75,0.69776119402985,0.686567164179104,0.44748,-0.17967,0.011192,0.024929,0.024929
64086301,0.718905472636816,0.731343283582089,0.701492537313433,0.723880597014925,0.18069,-0.02387,0.013027,0.11285,0.11285
64088601,0.79726368159204,0.802238805970149,0.813432835820896,0.776119402985074,0.20248,-0.010722,-0.039792,-0.14509,-0.14509
64089401,0.740049751243781,0.727611940298508,0.753731343283582,0.738805970149254,0.28465,0.016063,-0.0051183,0.19762,0.19762
64089701,0.759950248756219,0.757462686567164,0.735074626865671,0.787313432835821,0.18099,-0.047776,0.0045376,-0.013526,-0.013526
64090101,0.72636815920398,0.753731343283582,0.712686567164179,0.712686567164179,0.17052,-0.060632,-0.0032999,-0.013818,-0.013818
64090301,0.667910447761194,0.667910447761194,0.671641791044776,0.664179104477612,0.32107,-0.0073837,-0.044502,-0.059612,-0.059612
64090901,0.738805970149254,0.735074626865671,0.723880597014925,0.757462686567164,0.21182,0.0069483,-0.02486,0.086715,0.086715
64092901,0.731343283582089,0.690298507462687,0.757462686567164,0.746268656716418,0.15853,0.060758,-0.011092,-0.010579,-0.010579
64093501,0.723880597014925,0.738805970149254,0.712686567164179,0.720149253731344,0.31649,-0.068848,-0.083962,0.14847,0.14847
64094201,0.736318407960199,0.731343283582089,0.708955223880597,0.768656716417911,0.18834,0.056082,-0.025571,-0.10897,-0.10897
64096601,0.747512437810945,0.746268656716418,0.753731343283582,0.742537313432836,0.25029,-0.10118,0.07932,0.11809,0.11809
64098201,0.747512437810945,0.75,0.731343283582089,0.761194029850746,0.40139,-0.17019,0.060502,-0.037371,-0.037371
64099201,0.764925373134329,0.779850746268657,0.742537313432836,0.772388059701492,0.24253,-0.046442,-0.026507,0.18449,0.18449
64100101,0.741293532338309,0.805970149253731,0.716417910447761,0.701492537313433,0.11891,0.0081166,-0.021396,-0.052124,-0.052124
64100701,0.723880597014925,0.705223880597015,0.75,0.716417910447761,0.19195,-0.012744,0.001586,-0.1405,-0.1405
64100901,0.75,0.738805970149254,0.757462686567164,0.753731343283582,0.27089,-0.016439,0.17468,0.1306,0.1306
64101101,0.708955223880597,0.716417910447761,0.701492537313433,0.708955223880597,0.17891,-0.0056835,-0.018552,0.05293,0.05293
64102101,0.748756218905473,0.768656716417911,0.764925373134329,0.712686567164179,0.33429,-0.11354,-0.027312,0.10598,0.10598
