"","num_mem","P1_proj1","P1_proj2","P1_proj3","ins_g","mor_g","h_l","g_p","ta_1","ta_2","do_1","do_2","e_g","age","income","male","realestate","insurance","self_emp","mulSwitch_hl","deductible","inv_ris","valsavings"
"635",855392,30,40,30,5,2,NA,800,NA,NA,NA,NA,NA,60,0,0,0,0,0,NA,1,NA,0
"636",855450,100,0,0,2,3,NA,NA,NA,NA,NA,NA,1,55,2.5,1,NA,NA,0,NA,1,0,NA
"637",855484,30,20,50,3,2,NA,NA,NA,NA,4,6,NA,40,1.2,0,NA,NA,0,NA,NA,NA,NA
"638",855502,50,50,0,1,1,NA,NA,10,1,NA,NA,NA,25,1.358,1,NA,NA,0,NA,0,0,NA
"639",855630,40,20,40,1,2,NA,NA,8,2,NA,NA,NA,22,0,0,0,0,0,NA,1,0,NA
"640",855682,60,30,10,1,1,NA,NA,NA,NA,7,3,NA,60,0.9,0,0,0,0,NA,0,NA,20
"641",855792,0,90,10,1,2,NA,NA,NA,NA,NA,NA,5,23,0,1,NA,NA,0,NA,NA,0,NA
"642",855917,100,0,0,2,1,NA,NA,NA,NA,4,4,NA,40,2,1,0,1,0,NA,0,0,13.5
"643",856149,0,100,0,1,1,NA,0,NA,NA,NA,NA,NA,20,0.175,0,0,0,0,NA,NA,NA,3.211
"644",856195,50,25,25,2,1,NA,NA,15,15,NA,NA,NA,61,0.5,0,0,0,0,NA,0,NA,NA
"645",856271,50,35,15,1,1,6,NA,NA,NA,NA,NA,NA,22,0.75,0,0,0,0,FALSE,NA,0,NA
"646",856646,0,100,0,1,1,NA,NA,NA,NA,NA,NA,1,56,2.1,1,0,1,0,NA,0,0,100.745
"647",856680,50,35,15,1,2,NA,NA,NA,NA,NA,NA,3,48,NA,0,1,0,0,NA,NA,NA,NA
"648",856698,50,25,25,3,1,NA,NA,NA,NA,0,0,NA,74,0.686,0,0,0,0,NA,0,0,0
"649",856832,30,30,40,1,1,NA,NA,NA,NA,7,8,NA,44,3.12,1,0,0,0,NA,NA,NA,NA
