"partid","location","gamble_lab","domain","gamble_ind","samples","switches","swrate","A_mean","A_var","B_mean","B_var","rare_n","rt_sample","rt_decision","H","Hexp","R","Rexp","decision"
"68041301","Basel","he04_3","loss",5,31,2,0.07,-3,0,0,0,0,1091,890,0,1,1,NA,"B"
"68041301","Basel","he04_2inv","loss",6,24,1,0.04,-0.92,2.08,-0.73,2.62,2,1001,1048,1,0,0,0,"A"
"68041301","Basel","he04_5","gain",7,71,2,0.03,5.76,154.23,3,0,9,1187,813,0,0,0,0,"B"
"68041301","Basel","he04_2","gain",8,46,1,0.02,0.83,2.75,0.41,1.11,5,1110,751,1,1,1,1,"A"
"68041501","Basel","he04_3","loss",1,18,0,0,NA,NA,-5.33,150.59,3,1133,5522,0,NA,1,NA,"B"
"68041501","Basel","he04_6","gain",2,4,0,0,NA,NA,0,0,0,919,1670,1,NA,1,NA,"A"
"68041501","Basel","he04_4","loss",3,10,0,0,NA,NA,-3.2,2.84,2,1082,1748,0,NA,1,NA,"B"
"68041501","Basel","he04_2","gain",4,3,0,0,1.33,5.33,NA,NA,1,993,1213,1,NA,1,NA,"A"
"68041501","Basel","he04_5","gain",5,1,NA,NA,NA,NA,3,NA,0,974,1630,0,NA,0,NA,"B"
"68041501","Basel","he04_2inv","loss",6,1,NA,NA,0,NA,NA,NA,0,621,827,1,NA,0,NA,"A"
"68041501","Basel","he04_1","gain",7,1,NA,NA,NA,NA,3,NA,0,810,1958,0,NA,0,NA,"B"
"68041501","Basel","he04_6inv","loss",8,19,7,0.39,-0.3,0.9,0,0,0,1064,437,1,0,0,1,"A"
"68041601","Basel","he04_2inv","loss",1,14,1,0.08,-0.38,1.12,-0.67,2.67,1,1128,766,1,1,0,0,"A"
"68041601","Basel","he04_3","loss",2,14,1,0.08,-3,0,0,0,0,1097,534,0,1,1,NA,"B"
"68041601","Basel","he04_6inv","loss",3,12,1,0.09,-0.5,1.5,-5.33,170.67,1,1077,664,1,1,0,0,"A"
"68041601","Basel","he04_1","gain",4,14,1,0.08,3.5,2,3,0,1,1088,474,0,0,0,0,"B"
"68041601","Basel","he04_5","gain",5,11,1,0.1,0,0,3,0,0,1065,674,0,1,0,NA,"B"
"68041601","Basel","he04_4","loss",6,12,1,0.09,-3,0,-2.67,4.27,2,1076,369,0,1,1,1,"B"
"68041601","Basel","he04_6","gain",7,24,1,0.04,2.67,85.33,0.75,1.84,1,1199,351,1,1,1,1,"A"
"68041601","Basel","he04_2","gain",8,18,2,0.12,1,3.43,1.2,2.4,2,1064,354,1,0,1,1,"A"
"68041701","Basel","he04_2inv","loss",1,17,1,0.06,-1.12,2.41,-0.44,1.78,1,1242,1127,0,1,1,0,"B"
"68041701","Basel","he04_4","loss",2,20,2,0.11,-3,0,-2.67,4.27,2,1184,659,0,1,1,1,"B"
"68041701","Basel","he04_6","gain",3,18,1,0.06,0,0,0.6,1.6,0,1152,943,0,1,0,1,"B"
"68041701","Basel","he04_1","gain",4,17,1,0.06,3.11,3.11,3,0,2,1168,1373,0,0,0,0,"B"
"68041701","Basel","he04_6inv","loss",5,23,1,0.05,-1.15,2.31,0,0,0,1193,512,0,1,1,0,"B"
"68041701","Basel","he04_2","gain",6,21,1,0.05,1.33,4,1,2.18,3,1198,532,1,1,1,1,"A"
"68041701","Basel","he04_3","loss",7,22,1,0.05,-3,0,-5.33,155.15,2,1198,678,0,0,1,1,"B"
"68041701","Basel","he04_5","gain",8,26,2,0.08,8.42,209.59,3,0,5,1254,946,1,1,1,1,"A"
"68041801","Basel","he04_3","loss",1,2,1,1,-3,NA,0,NA,0,1934,1264,1,0,0,NA,"A"
"68041801","Basel","he04_5","gain",2,6,4,0.8,10.67,341.33,3,0,1,2196,2239,0,0,0,0,"B"
"68041801","Basel","he04_2inv","loss",3,10,8,0.89,-0.6,1.8,-1.6,4.8,2,1414,884,1,1,0,0,"A"
"68041801","Basel","he04_2","gain",4,6,5,1,0,0,1,3,0,1205,884,0,1,0,1,"B"
"68041801","Basel","he04_1","gain",5,6,5,1,0,0,3,0,3,1157,855,0,1,0,NA,"B"
"68041801","Basel","he04_6inv","loss",6,8,7,1,-1.5,3,-8,256,1,1084,672,1,1,0,0,"A"
"68041801","Basel","he04_4","loss",7,7,5,0.83,-3,0,-4,0,0,1168,660,1,1,0,NA,"A"
"68041801","Basel","he04_6","gain",8,4,3,1,0,0,3,0,0,1338,577,0,1,0,NA,"B"
"68041901","Basel","he04_3","loss",1,5,1,0.25,-3,0,0,0,0,1575,2460,0,1,1,NA,"B"
"68041901","Basel","he04_4","loss",2,12,2,0.18,-3,0,-2.86,3.81,2,1605,636,0,1,1,1,"B"
"68041901","Basel","he04_6inv","loss",3,11,1,0.1,-1.8,2.7,0,0,0,1158,524,0,1,1,0,"B"
"68041901","Basel","he04_6","gain",4,9,1,0.12,0,0,2.25,2.25,0,1158,634,0,1,0,1,"B"
"68041901","Basel","he04_2inv","loss",5,15,2,0.14,-0.6,1.8,-0.4,1.6,1,1191,649,1,0,0,1,"A"
"68041901","Basel","he04_1","gain",6,21,1,0.05,3.64,1.45,3,0,1,1152,687,1,1,1,1,"A"
"68041901","Basel","he04_2","gain",7,25,1,0.04,1.45,4.07,0.86,1.98,4,1138,725,1,1,1,1,"A"
"68041901","Basel","he04_5","gain",8,14,1,0.08,0,0,3,0,0,1081,546,0,1,0,NA,"B"
"68042001","Basel","he04_4","loss",1,55,29,0.54,-3,0,-3.6,1.52,2,1500,1978,1,1,0,0,"A"
"68042001","Basel","he04_5","gain",2,45,18,0.41,1.45,46.55,3,0,1,1651,797,1,0,1,1,"A"
"68042001","Basel","he04_1","gain",3,49,3,0.06,3.24,2.59,3,0,4,1325,857,0,0,0,0,"B"
"68042001","Basel","he04_6inv","loss",4,40,3,0.08,-0.75,1.8,-1.33,42.67,1,1517,830,1,1,0,0,"A"
"68042001","Basel","he04_2inv","loss",5,21,2,0.1,-1,2.4,-1.6,4.11,6,1504,788,1,1,0,0,"A"
"68042001","Basel","he04_6","gain",6,40,3,0.08,1.07,34.13,0.9,2.1,1,1394,1252,1,1,1,1,"A"
"68042001","Basel","he04_3","loss",7,66,4,0.06,-3,0,-8.73,223.42,3,1351,1079,1,1,0,0,"A"
"68042001","Basel","he04_2","gain",8,6,2,0.4,1.33,5.33,2,3,1,1692,768,0,1,0,0,"B"
"68042101","Basel","he04_3","loss",1,29,27,0.96,-3,0,-4.27,126.78,2,1334,1810,0,0,1,1,"B"
"68042101","Basel","he04_2inv","loss",2,14,13,1,0,0,-0.57,2.29,1,1092,2698,1,1,0,0,"A"
"68042101","Basel","he04_2","gain",3,12,11,1,0.67,2.67,0,0,1,1290,1360,1,1,1,1,"A"
"68042101","Basel","he04_5","gain",4,4,3,1,0,0,3,0,0,2199,903,0,1,0,NA,"B"
"68042101","Basel","he04_6inv","loss",5,18,17,1,-1,2.25,0,0,0,1092,828,0,1,1,0,"B"
"68042101","Basel","he04_4","loss",6,46,45,1,-3,0,-3.13,2.85,5,1206,984,0,0,1,1,"B"
"68042101","Basel","he04_6","gain",7,8,7,1,0,0,0.75,2.25,0,1218,665,0,1,0,1,"B"
"68042101","Basel","he04_1","gain",8,9,8,1,3.2,3.2,3,0,1,1114,2121,1,1,1,1,"A"
"68042201","Basel","he04_2","gain",1,35,3,0.09,0.4,1.52,0.6,1.54,2,1254,8424,1,0,1,0,"A"
"68042201","Basel","he04_2inv","loss",2,36,2,0.06,-0.71,1.71,-1.33,3.81,5,1278,798,1,1,0,0,"A"
"68042201","Basel","he04_6","gain",3,59,3,0.05,1.03,33.03,0.86,1.9,1,1138,8687,0,0,0,0,"B"
"68042201","Basel","he04_5","gain",4,23,1,0.05,3.56,113.78,3,0,1,1233,46014,1,1,1,1,"A"
"68042201","Basel","he04_4","loss",5,21,2,0.1,-3,0,-3.5,2,1,1172,650,1,1,0,0,"A"
"68042201","Basel","he04_1","gain",6,22,1,0.05,3.33,2.42,3,0,2,1141,563,1,1,1,1,"A"
"68042201","Basel","he04_6inv","loss",7,43,2,0.05,-0.63,1.58,0,0,0,1077,516,0,1,1,0,"B"
"68042201","Basel","he04_3","loss",8,19,2,0.11,-3,0,0,0,0,1562,1575,0,1,1,NA,"B"
"68042301","Basel","he04_4","loss",1,20,2,0.11,-3,0,-2,4.44,5,1193,1005,0,1,1,1,"B"
"68042301","Basel","he04_1","gain",2,20,1,0.05,2,4.44,3,0,5,1031,857,0,1,0,0,"B"
"68042301","Basel","he04_6inv","loss",3,20,1,0.05,-1.2,2.4,0,0,0,1108,657,0,1,1,0,"B"
"68042301","Basel","he04_6","gain",4,20,1,0.05,3.2,102.4,0.9,2.1,1,1101,810,1,1,1,1,"A"
"68042301","Basel","he04_5","gain",5,20,1,0.05,3.2,102.4,3,0,1,1120,1001,1,1,1,1,"A"
"68042301","Basel","he04_2","gain",6,20,1,0.05,0.4,1.6,0.3,0.9,1,1067,902,1,1,1,1,"A"
"68042301","Basel","he04_3","loss",7,30,3,0.1,-3,0,-2.13,68.27,1,1038,635,1,0,0,0,"A"
"68042301","Basel","he04_2inv","loss",8,19,1,0.06,-0.33,1,-0.4,1.6,1,1066,756,1,1,0,0,"A"
"68042401","Basel","he04_6inv","loss",1,43,18,0.43,-1.33,2.5,-0.94,30.12,1,1157,951,0,1,1,1,"B"
"68042401","Basel","he04_4","loss",2,35,34,1,-3,0,-3.53,1.76,2,1082,875,1,1,0,0,"A"
"68042401","Basel","he04_2","gain",3,60,27,0.46,1,3.1,1.18,2.23,8,1058,570,1,0,1,1,"A"
"68042401","Basel","he04_1","gain",4,43,2,0.05,3.6,1.52,3,0,2,1093,421,0,0,0,0,"B"
"68042401","Basel","he04_3","loss",5,44,2,0.05,-3,0,-3.05,92.65,2,1345,420,1,1,0,0,"A"
"68042401","Basel","he04_5","gain",6,30,1,0.03,3.2,102.4,3,0,1,1176,471,1,1,1,1,"A"
"68042401","Basel","he04_6","gain",7,14,2,0.15,5.33,170.67,1.12,2.41,1,1511,534,1,1,1,1,"A"
"68042401","Basel","he04_2inv","loss",8,40,2,0.05,-0.6,1.54,-0.48,1.76,3,1149,328,0,1,1,1,"B"
"68042601","Basel","he04_1","gain",1,37,4,0.11,2.95,3.27,3,0,5,1476,2141,0,1,0,0,"B"
"68042601","Basel","he04_6","gain",2,46,4,0.09,1.14,36.57,1.17,2.26,1,1457,730,1,0,1,1,"A"
"68042601","Basel","he04_6inv","loss",3,26,1,0.04,-0.75,1.93,-1.78,56.89,1,1232,768,1,1,0,0,"A"
"68042601","Basel","he04_3","loss",4,25,2,0.08,-3,0,-3.2,102.4,1,1405,785,1,1,0,0,"A"
"68042601","Basel","he04_5","gain",5,36,2,0.06,3.05,92.65,3,0,2,1169,605,0,0,0,0,"B"
"68042601","Basel","he04_2inv","loss",6,20,2,0.11,-0.82,1.96,-1.33,4,3,1114,801,1,1,0,0,"A"
"68042601","Basel","he04_2","gain",7,31,2,0.07,0.86,2.9,0.71,1.72,3,1892,643,1,1,1,1,"A"
"68042601","Basel","he04_4","loss",8,47,4,0.09,-3,0,-3.47,1.91,4,1409,2137,1,1,0,0,"A"
"68042801","Basel","he04_4","loss",1,17,2,0.12,-3,0,-2.4,4.8,2,1203,779,0,1,1,1,"B"
"68042801","Basel","he04_6","gain",2,20,1,0.05,0,0,0.75,1.84,0,1089,475,0,1,0,1,"B"
"68042801","Basel","he04_1","gain",3,29,2,0.07,3.37,2.25,3,0,3,1104,533,1,1,1,1,"A"
"68042801","Basel","he04_6inv","loss",4,19,2,0.11,-0.75,2.25,0,0,0,1128,513,0,1,1,0,"B"
"68042801","Basel","he04_5","gain",5,31,2,0.07,5.05,143.72,3,0,3,1120,523,0,0,0,0,"B"
"68042801","Basel","he04_2inv","loss",6,27,1,0.04,-0.35,0.99,-0.8,2.84,2,1059,397,1,1,0,0,"A"
"68042801","Basel","he04_2","gain",7,32,3,0.1,0.92,3.08,0.79,1.84,3,1127,413,0,0,0,0,"B"
"68042801","Basel","he04_3","loss",8,20,1,0.05,-3,0,-3.2,102.4,1,1173,625,0,0,1,1,"B"
"68042901","Basel","he04_2","gain",1,23,2,0.09,0.8,2.84,1.15,2.31,2,1171,2998,0,1,0,0,"B"
"68042901","Basel","he04_6","gain",2,33,2,0.06,1.52,48.76,0.5,1.36,1,1146,1912,0,0,0,0,"B"
"68042901","Basel","he04_5","gain",3,34,1,0.03,1.33,42.67,3,0,1,1084,686,0,1,0,0,"B"
"68042901","Basel","he04_4","loss",4,42,2,0.05,-3,0,-2.67,3.88,4,1097,656,0,1,1,1,"B"
"68042901","Basel","he04_6inv","loss",5,39,2,0.05,-0.27,0.82,0,0,0,1127,476,0,1,1,0,"B"
"68042901","Basel","he04_1","gain",6,25,2,0.08,3.08,3.08,3,0,3,1042,793,0,0,0,0,"B"
"68042901","Basel","he04_3","loss",7,19,1,0.06,-3,0,-4.57,146.29,1,1120,901,1,1,0,0,"A"
"68042901","Basel","he04_2inv","loss",8,27,2,0.08,-0.75,1.8,-0.36,1.45,1,1103,572,0,1,1,0,"B"
"68043001","Basel","he04_1","gain",1,50,7,0.14,3.17,2.75,3,0,5,1131,2885,0,0,0,0,"B"
"68043001","Basel","he04_6","gain",2,59,4,0.07,1,32,0.44,1.18,1,1172,655,1,1,1,1,"A"
"68043001","Basel","he04_4","loss",3,33,3,0.09,-3,0,-3.33,2.42,2,1143,461,1,1,0,0,"A"
"68043001","Basel","he04_2","gain",4,25,2,0.08,0.31,1.23,0.75,1.84,1,1148,387,0,1,0,1,"B"
"68043001","Basel","he04_3","loss",5,17,1,0.06,-3,0,0,0,0,1142,594,0,1,1,NA,"B"
"68043001","Basel","he04_6inv","loss",6,23,1,0.05,-1.64,2.45,0,0,0,1174,543,0,1,1,0,"B"
"68043001","Basel","he04_2inv","loss",7,20,1,0.05,-0.9,2.1,-1.2,3.73,3,1120,586,1,1,0,0,"A"
"68043001","Basel","he04_5","gain",8,20,1,0.05,6.4,182.04,3,0,2,1242,901,0,0,0,0,"B"
"68043101","Basel","he04_2","gain",1,82,3,0.04,0.59,2.05,0.44,1.15,6,1191,1334,0,0,0,0,"B"
"68043101","Basel","he04_6inv","loss",2,56,1,0.02,-0.3,0.84,-1.23,39.38,1,1079,731,1,1,0,0,"A"
"68043101","Basel","he04_1","gain",3,80,1,0.01,3.7,1.14,3,0,3,1014,564,1,1,1,1,"A"
"68043101","Basel","he04_5","gain",4,73,1,0.01,3.64,105.54,3,0,5,1040,682,1,1,1,1,"A"
"68043101","Basel","he04_2inv","loss",5,89,2,0.02,-0.92,1.95,-0.5,1.79,5,1002,460,0,1,1,0,"B"
"68043101","Basel","he04_6","gain",6,64,1,0.02,0.63,20.08,1.85,2.31,1,1127,473,0,1,0,0,"B"
"68043101","Basel","he04_3","loss",7,51,2,0.04,-3,0,-7.27,188.4,5,1169,499,1,1,0,0,"A"
"68043101","Basel","he04_4","loss",8,41,1,0.02,-3,0,-2.22,4.44,4,1050,492,0,1,1,1,"B"
"68043201","Basel","he04_2","gain",1,16,1,0.07,0.8,2.84,1,2.4,2,1290,882,0,1,0,0,"B"
"68043201","Basel","he04_2inv","loss",2,30,2,0.07,-0.25,0.75,-0.67,2.35,3,1193,735,1,1,0,0,"A"
"68043201","Basel","he04_3","loss",3,27,2,0.08,-3,0,-4,119.47,2,1273,644,0,0,1,1,"B"
"68043201","Basel","he04_6inv","loss",4,41,2,0.05,-0.75,1.8,-1.28,40.96,1,1210,737,1,1,0,0,"A"
"68043201","Basel","he04_5","gain",5,35,2,0.06,4,116.87,3,0,3,1259,800,0,0,0,0,"B"
"68043201","Basel","he04_4","loss",6,27,1,0.04,-3,0,-3.69,1.23,1,1458,705,1,1,0,0,"A"
"68043201","Basel","he04_1","gain",7,15,1,0.07,2.8,3.73,3,0,3,1286,883,1,0,1,1,"A"
"68043201","Basel","he04_6","gain",8,26,1,0.04,2.46,78.77,0.69,1.73,1,1284,691,1,1,1,1,"A"
"68043401","Basel","he04_4","loss",1,3,1,0.5,-3,NA,-4,0,0,2239,3662,1,1,0,NA,"A"
"68043401","Basel","he04_2","gain",2,2,1,1,0,NA,0,NA,0,4084,1076,1,NA,1,NA,"A"
"68043401","Basel","he04_6inv","loss",3,2,1,1,0,NA,0,NA,0,1988,716,1,NA,0,NA,"A"
"68043401","Basel","he04_6","gain",4,2,1,1,0,NA,0,NA,0,2220,457,1,NA,1,NA,"A"
"68043401","Basel","he04_3","loss",5,2,1,1,-3,NA,0,NA,0,6570,1630,1,0,0,NA,"A"
"68043401","Basel","he04_2inv","loss",6,2,1,1,0,NA,-4,NA,1,1546,536,1,1,0,NA,"A"
"68043401","Basel","he04_5","gain",7,2,1,1,0,NA,3,NA,0,1271,400,0,1,0,NA,"B"
"68043401","Basel","he04_1","gain",8,2,1,1,0,NA,3,NA,1,1417,3843,1,0,1,NA,"A"
"68043601","Basel","he04_2inv","loss",1,13,6,0.5,0,0,0,0,0,1825,2153,1,NA,0,NA,"A"
"68043601","Basel","he04_4","loss",2,37,20,0.56,-3,0,-3.6,1.52,2,2135,5642,0,0,1,1,"B"
"68043601","Basel","he04_2","gain",3,31,10,0.33,1.41,3.88,0.86,1.98,6,5455,980,1,1,1,1,"A"
"68043601","Basel","he04_6inv","loss",4,32,1,0.03,-0.4,1.11,0,0,0,1389,596,0,1,1,0,"B"
"68043601","Basel","he04_6","gain",5,40,2,0.05,1.78,56.89,0.95,2.05,1,1315,818,0,0,0,0,"B"
