Session	ID	d1	d2	d3	d4	d5	d6	d7	d8	d9	d10
11	36	1	1	1	1	0	0	0	0	0	0
2	10	1	1	1	1	1	1	0	0	0	0
3	15	1	1	1	1	1	0	0	0	0	0
10	5	1	1	1	1	0	0	0	0	0	0
8	15	1	1	1	1	0	0	0	0	0	0
5	14	1	1	1	1	1	1	1	0	0	0
7	3	1	1	1	1	1	0	0	0	0	0
1	24	1	1	1	1	1	0	0	0	0	0
6	24	1	1	1	1	1	1	1	1	1	0
6	15	1	1	1	1	1	1	1	1	1	0
9	17	*	*	*	*	*	*	*	*	*	*
11	7	1	1	1	1	1	1	0	0	0	0
11	30	1	1	1	1	1	1	1	1	0	1
1	45	1	1	1	1	1	0	0	0	0	0
4	22	1	1	1	1	0	0	0	0	0	0
4	23	1	1	1	1	0	0	0	0	0	0
7	10	1	1	1	1	0	0	0	0	0	0
3	1	1	1	1	1	1	1	0	0	0	0
6	17	*	*	*	*	*	*	*	*	*	*
4	2	1	1	1	1	1	0	0	0	0	0
10	14	1	1	1	1	0	0	0	0	0	0
5	12	1	1	1	1	1	1	1	0	0	0
10	22	1	1	1	1	1	1	0	0	0	0
8	3	1	1	1	1	0	0	0	0	0	0
6	29	1	1	1	1	1	1	0	0	0	0
6	30	1	1	1	1	1	1	0	0	0	0
