bibkey,paper,task,subject,age,gender,choice,r
Fairley2019,Fairley and Parelman 2019,BERP,70,18,1,40.838,0.7021422922182868
Fairley2019,Fairley and Parelman 2019,BART,70,18,1,26.25,0.36082474226804123
Fairley2019,Fairley and Parelman 2019,BART,71,20,0,28.286,0.7704417933213489
Fairley2019,Fairley and Parelman 2019,BERP,71,20,0,26.502,0.6883993973712919
Fairley2019,Fairley and Parelman 2019,BERP,72,22,1,34.068,1.004008016032064
Fairley2019,Fairley and Parelman 2019,BART,72,22,1,29.333,0.7586055292626787
Fairley2019,Fairley and Parelman 2019,BERP,73,20,1,37.537,1.0019752822785148
Fairley2019,Fairley and Parelman 2019,BART,73,20,1,19.818,0.3591388496248777
Fairley2019,Fairley and Parelman 2019,BART,74,20,0,29.75,1.3370786516853932
Fairley2019,Fairley and Parelman 2019,BERP,74,20,0,17.966,0.5278838808250573
Fairley2019,Fairley and Parelman 2019,BART,75,23,0,35.111,1.4107035236449834
Fairley2019,Fairley and Parelman 2019,BERP,75,23,0,43.933,2.734362357627435
Fairley2019,Fairley and Parelman 2019,BERP,76,24,1,8.1602,0.6892177232723525
Fairley2019,Fairley and Parelman 2019,BART,76,24,1,17.667,7.572653236176603
Fairley2019,Fairley and Parelman 2019,BERP,77,19,0,27.502,0.8462674626130837
Fairley2019,Fairley and Parelman 2019,BART,77,19,0,29.2,0.948051948051948
Fairley2019,Fairley and Parelman 2019,BART,78,18,0,29.545,0.7303176368804846
Fairley2019,Fairley and Parelman 2019,BERP,78,18,0,36.715,1.1030494216614093
Fairley2019,Fairley and Parelman 2019,BERP,79,19,1,31.589,0.9746382401036684
Fairley2019,Fairley and Parelman 2019,BART,79,19,1,42,1.9090909090909092
Fairley2019,Fairley and Parelman 2019,BERP,80,21,1,33.715,1.113257388145947
Fairley2019,Fairley and Parelman 2019,BART,80,21,1,24.286,0.61152238505313
Fairley2019,Fairley and Parelman 2019,BART,81,20,1,33.75,1.2857142857142858
Fairley2019,Fairley and Parelman 2019,BERP,81,20,1,31.48,1.1037868162692848
Fairley2019,Fairley and Parelman 2019,BERP,82,21,1,32.101,1.0063324869118153
Fairley2019,Fairley and Parelman 2019,BART,82,21,1,31.5,0.9692307692307692
Fairley2019,Fairley and Parelman 2019,BERP,83,25,0,22.386,0.47015583651867093
Fairley2019,Fairley and Parelman 2019,BART,83,25,0,15.2,0.2773722627737226
Fairley2019,Fairley and Parelman 2019,BERP,84,23,1,29.442,0.9634792852935402
Fairley2019,Fairley and Parelman 2019,BART,84,23,1,23.333,0.6363487604658139
Fairley2019,Fairley and Parelman 2019,BART,85,26,1,23.077,0.4918057242716792
Fairley2019,Fairley and Parelman 2019,BERP,85,26,1,36.75,1.105263157894737
Fairley2019,Fairley and Parelman 2019,BERP,86,19,1,52.49,1.1048200378867608
Fairley2019,Fairley and Parelman 2019,BART,86,19,1,20.176,0.2527560633393465
Fairley2019,Fairley and Parelman 2019,BART,87,19,1,23.9,0.6620498614958448
Fairley2019,Fairley and Parelman 2019,BERP,87,19,1,37.421,1.6573364630851675
Fairley2019,Fairley and Parelman 2019,BERP,88,23,1,26.85,0.8099547511312218
Fairley2019,Fairley and Parelman 2019,BART,88,23,1,26.071,0.7683987149636005
Fairley2019,Fairley and Parelman 2019,BART,89,26,1,43.75,1.206896551724138
Fairley2019,Fairley and Parelman 2019,BERP,89,26,1,36.88,0.855287569573284
Fairley2019,Fairley and Parelman 2019,BERP,90,21,0,38.008,1.1880470117529385
Fairley2019,Fairley and Parelman 2019,BART,90,21,0,33.778,0.9325271934183644
Fairley2019,Fairley and Parelman 2019,BART,91,18,1,32.143,1.1538571992676887
Fairley2019,Fairley and Parelman 2019,BERP,91,18,1,29.188,0.9472932623653122
Fairley2019,Fairley and Parelman 2019,BERP,92,19,1,23.535,0.6636120118426617
Fairley2019,Fairley and Parelman 2019,BART,92,19,1,36.222,1.5902186320133465
Fairley2019,Fairley and Parelman 2019,BERP,93,27,0,41.435,1.0744198107091925
Fairley2019,Fairley and Parelman 2019,BART,93,27,0,24.091,0.43089663560428554
Fairley2019,Fairley and Parelman 2019,BART,94,31,1,24.286,1.2977450037405154
Fairley2019,Fairley and Parelman 2019,BERP,94,31,1,13.676,0.4663756649843132
Fairley2019,Fairley and Parelman 2019,BART,95,19,1,31.8,0.9875776397515528
Fairley2019,Fairley and Parelman 2019,BERP,95,19,1,32.528,1.0335536349771224
Fairley2019,Fairley and Parelman 2019,BERP,96,24,1,30,1
Fairley2019,Fairley and Parelman 2019,BART,96,24,1,30.571,1.0388052601175712
Fairley2019,Fairley and Parelman 2019,BERP,97,20,0,22.276,0.8034915596595008
Fairley2019,Fairley and Parelman 2019,BART,97,20,0,21.5,0.7543859649122807
Fairley2019,Fairley and Parelman 2019,BART,98,20,1,18.8,0.33451957295373663
Fairley2019,Fairley and Parelman 2019,BERP,98,20,1,29.625,0.6528925619834711
Fairley2019,Fairley and Parelman 2019,BERP,99,19,1,35.312,1.0179889298892988
Fairley2019,Fairley and Parelman 2019,BART,99,19,1,28.571,0.6896376934031717
Fairley2019,Fairley and Parelman 2019,BERP,100,26,0,35.616,1.2547914317925593
Fairley2019,Fairley and Parelman 2019,BART,100,26,0,19.111,0.42573904520038325
Fairley2019,Fairley and Parelman 2019,BART,101,18,0,22.154,0.5294173875639249
Fairley2019,Fairley and Parelman 2019,BERP,101,18,0,16.832,0.3568521031207599
Fairley2019,Fairley and Parelman 2019,BERP,102,24,1,37.04,0.8621973929236498
Fairley2019,Fairley and Parelman 2019,BART,102,24,1,26,0.48148148148148145
Fairley2019,Fairley and Parelman 2019,BERP,103,19,1,31.282,1.0892819834250296
Fairley2019,Fairley and Parelman 2019,BART,103,19,1,26.429,0.7872568585981948
Fairley2019,Fairley and Parelman 2019,BERP,104,18,1,19.629,0.4326331797844439
Fairley2019,Fairley and Parelman 2019,BART,104,18,1,20.357,0.4559953408149094
Fairley2019,Fairley and Parelman 2019,BART,105,19,1,32.75,1.048
Fairley2019,Fairley and Parelman 2019,BERP,105,19,1,32.896,1.0576131687242798
Fairley2019,Fairley and Parelman 2019,BERP,106,19,0,30.45,0.7699115044247788
Fairley2019,Fairley and Parelman 2019,BART,106,19,0,29,0.7073170731707317
Fairley2019,Fairley and Parelman 2019,BART,107,21,1,24,0.5217391304347826
Fairley2019,Fairley and Parelman 2019,BERP,107,21,1,35.337,1.0194443643077635
Fairley2019,Fairley and Parelman 2019,BERP,108,19,1,33.6,1.105263157894737
Fairley2019,Fairley and Parelman 2019,BART,108,19,1,33.917,1.1274473955390087
