"partid","location","gamble_lab","domain","gamble_ind","rt_decision","H","R","decision"
64049601,"Basel","he04_2inv","loss",5,7876,1,0,"A"
64049601,"Basel","he04_4","loss",6,17966,1,0,"A"
64049601,"Basel","he04_1","gain",7,6238,0,0,"B"
64049601,"Basel","he04_6","gain",8,17783,1,1,"A"
64049701,"Basel","he04_6","gain",1,13226,0,0,"B"
64049701,"Basel","he04_5","gain",2,6587,0,0,"B"
64049701,"Basel","he04_3","loss",3,6647,0,1,"B"
64049701,"Basel","he04_4","loss",4,6431,1,0,"A"
64049701,"Basel","he04_2inv","loss",5,5425,0,1,"B"
64049701,"Basel","he04_1","gain",6,4505,0,0,"B"
64049701,"Basel","he04_6inv","loss",7,12016,0,1,"B"
64049701,"Basel","he04_2","gain",8,4847,0,0,"B"
64051301,"Basel","he04_5","gain",1,12720,0,0,"B"
64051301,"Basel","he04_6","gain",2,3919,0,0,"B"
64051301,"Basel","he04_2","gain",3,7621,1,1,"A"
64051301,"Basel","he04_6inv","loss",4,8113,1,0,"A"
64051301,"Basel","he04_4","loss",5,4457,0,1,"B"
64051301,"Basel","he04_3","loss",6,5469,0,1,"B"
64051301,"Basel","he04_2inv","loss",7,3863,1,0,"A"
64051301,"Basel","he04_1","gain",8,3147,1,1,"A"
64051501,"Basel","he04_1","gain",1,5948,0,0,"B"
64051501,"Basel","he04_5","gain",2,7637,0,0,"B"
64051501,"Basel","he04_2inv","loss",3,8003,0,1,"B"
64051501,"Basel","he04_6inv","loss",4,10561,1,0,"A"
64051501,"Basel","he04_3","loss",5,5228,0,1,"B"
64051501,"Basel","he04_6","gain",6,10364,0,0,"B"
64051501,"Basel","he04_2","gain",7,10060,0,0,"B"
64051501,"Basel","he04_4","loss",8,4909,0,1,"B"
64052901,"Basel","he04_2","gain",1,6987,0,0,"B"
64052901,"Basel","he04_6","gain",2,8498,0,0,"B"
64052901,"Basel","he04_4","loss",3,7368,0,1,"B"
64052901,"Basel","he04_2inv","loss",4,11940,0,1,"B"
64052901,"Basel","he04_1","gain",5,3933,0,0,"B"
64052901,"Basel","he04_3","loss",6,7352,1,0,"A"
64052901,"Basel","he04_5","gain",7,13716,1,1,"A"
64052901,"Basel","he04_6inv","loss",8,5860,1,0,"A"
64053701,"Basel","he04_5","gain",1,11782,0,0,"B"
64053701,"Basel","he04_6inv","loss",2,11570,0,1,"B"
64053701,"Basel","he04_3","loss",3,6117,0,1,"B"
64053701,"Basel","he04_2","gain",4,16866,1,1,"A"
64053701,"Basel","he04_2inv","loss",5,8121,1,0,"A"
64053701,"Basel","he04_1","gain",6,12582,1,1,"A"
64053701,"Basel","he04_4","loss",7,10929,1,0,"A"
64053701,"Basel","he04_6","gain",8,24020,0,0,"B"
64055001,"Basel","he04_2inv","loss",1,9031,0,1,"B"
64055001,"Basel","he04_5","gain",2,5032,0,0,"B"
64055001,"Basel","he04_1","gain",3,2689,0,0,"B"
64055001,"Basel","he04_6","gain",4,10012,0,0,"B"
64055001,"Basel","he04_4","loss",5,10504,0,1,"B"
64055001,"Basel","he04_2","gain",6,7896,0,0,"B"
64055001,"Basel","he04_6inv","loss",7,5349,1,0,"A"
64055001,"Basel","he04_3","loss",8,3186,1,0,"A"
64056701,"Basel","he04_2","gain",1,28013,0,0,"B"
64056701,"Basel","he04_3","loss",2,7282,0,1,"B"
64056701,"Basel","he04_1","gain",3,10126,0,0,"B"
64056701,"Basel","he04_4","loss",4,5751,0,1,"B"
64056701,"Basel","he04_6","gain",5,12385,0,0,"B"
64056701,"Basel","he04_5","gain",6,8320,1,1,"A"
64056701,"Basel","he04_6inv","loss",7,4878,0,1,"B"
64056701,"Basel","he04_2inv","loss",8,3822,0,1,"B"
64057101,"Basel","he04_4","loss",1,10681,1,0,"A"
64057101,"Basel","he04_1","gain",2,8460,0,0,"B"
64057101,"Basel","he04_6","gain",3,11547,1,1,"A"
64057101,"Basel","he04_6inv","loss",4,8091,0,1,"B"
64057101,"Basel","he04_5","gain",5,4351,0,0,"B"
64057101,"Basel","he04_3","loss",6,7056,0,1,"B"
64057101,"Basel","he04_2inv","loss",7,6682,1,0,"A"
64057101,"Basel","he04_2","gain",8,10396,0,0,"B"
64057201,"Basel","he04_6","gain",1,13823,0,0,"B"
64057201,"Basel","he04_4","loss",2,29583,1,0,"A"
64057201,"Basel","he04_1","gain",3,8698,1,1,"A"
64057201,"Basel","he04_3","loss",4,57764,1,0,"A"
64057201,"Basel","he04_2inv","loss",5,24803,1,0,"A"
64057201,"Basel","he04_6inv","loss",6,22374,0,1,"B"
64057201,"Basel","he04_2","gain",7,14717,1,1,"A"
64057201,"Basel","he04_5","gain",8,8348,1,1,"A"
64057901,"Basel","he04_2inv","loss",1,13729,0,1,"B"
64057901,"Basel","he04_1","gain",2,4448,0,0,"B"
64057901,"Basel","he04_5","gain",3,4291,0,0,"B"
64057901,"Basel","he04_3","loss",4,10828,1,0,"A"
64057901,"Basel","he04_4","loss",5,9979,1,0,"A"
64057901,"Basel","he04_2","gain",6,29904,0,0,"B"
64057901,"Basel","he04_6inv","loss",7,9427,0,1,"B"
64057901,"Basel","he04_6","gain",8,10284,0,0,"B"
64058101,"Basel","he04_5","gain",1,7344,0,0,"B"
64058101,"Basel","he04_3","loss",2,2431,1,0,"A"
64058101,"Basel","he04_4","loss",3,21951,0,1,"B"
64058101,"Basel","he04_6inv","loss",4,4388,1,0,"A"
64058101,"Basel","he04_2inv","loss",5,5751,1,0,"A"
64058101,"Basel","he04_2","gain",6,6527,0,0,"B"
64058101,"Basel","he04_6","gain",7,4453,0,0,"B"
64058101,"Basel","he04_1","gain",8,2649,0,0,"B"
64058701,"Basel","he04_1","gain",1,5829,0,0,"B"
64058701,"Basel","he04_3","loss",2,6808,0,1,"B"
64058701,"Basel","he04_5","gain",3,5155,0,0,"B"
64058701,"Basel","he04_2inv","loss",4,8426,0,1,"B"
64058701,"Basel","he04_6","gain",5,9453,0,0,"B"
64058701,"Basel","he04_6inv","loss",6,24013,0,1,"B"
64058701,"Basel","he04_2","gain",7,9497,0,0,"B"
64058701,"Basel","he04_4","loss",8,15385,1,0,"A"
64059001,"Basel","he04_2","gain",1,12160,1,1,"A"
64059001,"Basel","he04_3","loss",2,7068,0,1,"B"
64059001,"Basel","he04_2inv","loss",3,11057,1,0,"A"
64059001,"Basel","he04_1","gain",4,9209,0,0,"B"
64059001,"Basel","he04_5","gain",5,7568,0,0,"B"
64059001,"Basel","he04_6","gain",6,8619,1,1,"A"
64059001,"Basel","he04_6inv","loss",7,12339,1,0,"A"
64059001,"Basel","he04_4","loss",8,9101,0,1,"B"
64060701,"Basel","he04_4","loss",1,18733,0,1,"B"
64060701,"Basel","he04_6","gain",2,6453,0,0,"B"
64060701,"Basel","he04_1","gain",3,4655,1,1,"A"
64060701,"Basel","he04_5","gain",4,5036,1,1,"A"
64060701,"Basel","he04_2","gain",5,6132,1,1,"A"
64060701,"Basel","he04_6inv","loss",6,4070,1,0,"A"
64060701,"Basel","he04_3","loss",7,6801,0,1,"B"
64060701,"Basel","he04_2inv","loss",8,10374,1,0,"A"
64061701,"Basel","he04_1","gain",1,4698,0,0,"B"
64061701,"Basel","he04_4","loss",2,6270,0,1,"B"
64061701,"Basel","he04_6","gain",3,24888,0,0,"B"
64061701,"Basel","he04_6inv","loss",4,10409,0,1,"B"
64061701,"Basel","he04_2inv","loss",5,17311,1,0,"A"
64061701,"Basel","he04_2","gain",6,17829,0,0,"B"
64061701,"Basel","he04_3","loss",7,6630,0,1,"B"
64061701,"Basel","he04_5","gain",8,3575,0,0,"B"
64061901,"Basel","he04_2inv","loss",1,13454,1,0,"A"
64061901,"Basel","he04_5","gain",2,7824,0,0,"B"
64061901,"Basel","he04_1","gain",3,12116,0,0,"B"
64061901,"Basel","he04_6inv","loss",4,15681,1,0,"A"
64061901,"Basel","he04_3","loss",5,6544,1,0,"A"
64061901,"Basel","he04_2","gain",6,8771,0,0,"B"
64061901,"Basel","he04_4","loss",7,5571,1,0,"A"
64061901,"Basel","he04_6","gain",8,28538,0,0,"B"
64063501,"Basel","he04_1","gain",1,8757,1,1,"A"
64063501,"Basel","he04_5","gain",2,9562,0,0,"B"
64063501,"Basel","he04_2","gain",3,9334,1,1,"A"
64063501,"Basel","he04_2inv","loss",4,11940,1,0,"A"
64063501,"Basel","he04_6inv","loss",5,8803,0,1,"B"
64063501,"Basel","he04_4","loss",6,17188,0,1,"B"
64063501,"Basel","he04_3","loss",7,6944,0,1,"B"
64063501,"Basel","he04_6","gain",8,8363,0,0,"B"
64063601,"Basel","he04_6inv","loss",1,7051,0,1,"B"
64063601,"Basel","he04_3","loss",2,6639,1,0,"A"
64063601,"Basel","he04_6","gain",3,4627,0,0,"B"
64063601,"Basel","he04_2inv","loss",4,4548,1,0,"A"
64063601,"Basel","he04_4","loss",5,6585,0,1,"B"
64063601,"Basel","he04_1","gain",6,4538,0,0,"B"
64063601,"Basel","he04_2","gain",7,4403,0,0,"B"
64063601,"Basel","he04_5","gain",8,4028,0,0,"B"
64066601,"Basel","he04_6","gain",1,5111,0,0,"B"
64066601,"Basel","he04_2","gain",2,11348,0,0,"B"
64066601,"Basel","he04_1","gain",3,5795,0,0,"B"
64066601,"Basel","he04_3","loss",4,9418,1,0,"A"
64066601,"Basel","he04_4","loss",5,7033,0,1,"B"
64066601,"Basel","he04_6inv","loss",6,5427,1,0,"A"
64066601,"Basel","he04_2inv","loss",7,14526,1,0,"A"
64066601,"Basel","he04_5","gain",8,5162,0,0,"B"
64067701,"Basel","he04_6inv","loss",1,8716,1,0,"A"
64067701,"Basel","he04_2","gain",2,15092,0,0,"B"
64067701,"Basel","he04_2inv","loss",3,16832,1,0,"A"
64067701,"Basel","he04_3","loss",4,12842,1,0,"A"
64067701,"Basel","he04_4","loss",5,10650,1,0,"A"
64067701,"Basel","he04_5","gain",6,7351,0,0,"B"
64067701,"Basel","he04_6","gain",7,10918,0,0,"B"
64067701,"Basel","he04_1","gain",8,4261,1,1,"A"
64068201,"Basel","he04_5","gain",1,4362,0,0,"B"
64068201,"Basel","he04_1","gain",2,9509,0,0,"B"
64068201,"Basel","he04_2","gain",3,6791,0,0,"B"
64068201,"Basel","he04_4","loss",4,3191,1,0,"A"
64068201,"Basel","he04_6","gain",5,5646,0,0,"B"
64068201,"Basel","he04_3","loss",6,4430,1,0,"A"
64068201,"Basel","he04_2inv","loss",7,6153,0,1,"B"
64068201,"Basel","he04_6inv","loss",8,4535,1,0,"A"
64069001,"Basel","he04_4","loss",1,19510,0,1,"B"
64069001,"Basel","he04_2","gain",2,12711,1,1,"A"
64069001,"Basel","he04_6","gain",3,11094,0,0,"B"
64069001,"Basel","he04_1","gain",4,10872,0,0,"B"
64069001,"Basel","he04_3","loss",5,18148,0,1,"B"
64069001,"Basel","he04_5","gain",6,7847,0,0,"B"
64069001,"Basel","he04_6inv","loss",7,5690,1,0,"A"
64069001,"Basel","he04_2inv","loss",8,9343,1,0,"A"
64069401,"Basel","he04_2inv","loss",1,21909,1,0,"A"
64069401,"Basel","he04_6","gain",2,21616,1,1,"A"
64069401,"Basel","he04_1","gain",3,7722,0,0,"B"
64069401,"Basel","he04_6inv","loss",4,12378,0,1,"B"
64069401,"Basel","he04_4","loss",5,11688,0,1,"B"
64069401,"Basel","he04_5","gain",6,6217,1,1,"A"
64069401,"Basel","he04_3","loss",7,10272,0,1,"B"
64069401,"Basel","he04_2","gain",8,9342,1,1,"A"
64069501,"Basel","he04_2inv","loss",1,12528,1,0,"A"
64069501,"Basel","he04_1","gain",2,4361,0,0,"B"
64069501,"Basel","he04_2","gain",3,11606,1,1,"A"
64069501,"Basel","he04_3","loss",4,6781,1,0,"A"
64069501,"Basel","he04_4","loss",5,7181,0,1,"B"
64069501,"Basel","he04_6inv","loss",6,5880,1,0,"A"
64069501,"Basel","he04_5","gain",7,7564,1,1,"A"
64069501,"Basel","he04_6","gain",8,4904,1,1,"A"
64069601,"Basel","he04_6inv","loss",1,10222,1,0,"A"
64069601,"Basel","he04_1","gain",2,14887,0,0,"B"
64069601,"Basel","he04_6","gain",3,14227,1,1,"A"
64069601,"Basel","he04_4","loss",4,16874,0,1,"B"
64069601,"Basel","he04_3","loss",5,15475,1,0,"A"
64069601,"Basel","he04_2","gain",6,11224,0,0,"B"
64069601,"Basel","he04_5","gain",7,6997,0,0,"B"
