"partid","NEO_A","NEO_C","NEO_E","NEO_N","NEO_O","STAI_trait","t_diff"
65009801,NA,NA,NA,NA,NA,NA,NA
65009901,NA,NA,NA,NA,NA,NA,NA
65010001,NA,NA,NA,NA,NA,NA,NA
65010101,NA,NA,NA,NA,NA,NA,NA
65010201,NA,NA,NA,NA,NA,NA,NA
65010301,NA,NA,NA,NA,NA,NA,NA
65010401,NA,NA,NA,NA,NA,NA,NA
65010601,NA,NA,NA,NA,NA,NA,NA
65011001,NA,NA,NA,NA,NA,NA,NA
65011101,NA,NA,NA,NA,NA,NA,NA
65011201,NA,NA,NA,NA,NA,NA,NA
65011301,NA,NA,NA,NA,NA,NA,NA
65011401,NA,NA,NA,NA,NA,NA,NA
65011501,NA,NA,NA,NA,NA,NA,NA
65011601,NA,NA,NA,NA,NA,NA,NA
65011701,NA,NA,NA,NA,NA,NA,NA
65011801,NA,NA,NA,NA,NA,NA,NA
65011901,NA,NA,NA,NA,NA,NA,NA
65012001,NA,NA,NA,NA,NA,NA,NA
65012101,NA,NA,NA,NA,NA,NA,NA
65012201,NA,NA,NA,NA,NA,NA,NA
65012301,NA,NA,NA,NA,NA,NA,NA
65012401,NA,NA,NA,NA,NA,NA,NA
65012501,NA,NA,NA,NA,NA,NA,NA
65012601,NA,NA,NA,NA,NA,NA,NA
65012701,NA,NA,NA,NA,NA,NA,NA
65012801,NA,NA,NA,NA,NA,NA,NA
65012901,NA,NA,NA,NA,NA,NA,NA
65013001,NA,NA,NA,NA,NA,NA,NA
65013101,NA,NA,NA,NA,NA,NA,NA
65013201,NA,NA,NA,NA,NA,NA,NA
65013301,NA,NA,NA,NA,NA,NA,NA
65013401,NA,NA,NA,NA,NA,NA,NA
65013501,NA,NA,NA,NA,NA,NA,NA
65013601,NA,NA,NA,NA,NA,NA,NA
65013701,NA,NA,NA,NA,NA,NA,NA
65013801,NA,NA,NA,NA,NA,NA,NA
65013901,NA,NA,NA,NA,NA,NA,NA
65014001,NA,NA,NA,NA,NA,NA,NA
65014101,NA,NA,NA,NA,NA,NA,NA
65014201,NA,NA,NA,NA,NA,NA,NA
65014401,NA,NA,NA,NA,NA,NA,NA
65014501,NA,NA,NA,NA,NA,NA,NA
65014601,NA,NA,NA,NA,NA,NA,NA
65014701,NA,NA,NA,NA,NA,NA,NA
65014801,NA,NA,NA,NA,NA,NA,NA
65014901,NA,NA,NA,NA,NA,NA,NA
65015401,NA,NA,NA,NA,NA,NA,NA
65015501,NA,NA,NA,NA,NA,NA,NA
65015601,NA,NA,NA,NA,NA,NA,NA
65015801,NA,NA,NA,NA,NA,NA,NA
65015901,NA,NA,NA,NA,NA,NA,NA
65016001,NA,NA,NA,NA,NA,NA,NA
65016101,NA,NA,NA,NA,NA,NA,NA
65016201,NA,NA,NA,NA,NA,NA,NA
65016301,NA,NA,NA,NA,NA,NA,NA
65016401,NA,NA,NA,NA,NA,NA,NA
65016501,NA,NA,NA,NA,NA,NA,NA
65016601,NA,NA,NA,NA,NA,NA,NA
65016701,NA,NA,NA,NA,NA,NA,NA
65016801,NA,NA,NA,NA,NA,NA,NA
65016901,NA,NA,NA,NA,NA,NA,NA
65017001,NA,NA,NA,NA,NA,NA,NA
65017101,NA,NA,NA,NA,NA,NA,NA
65017201,NA,NA,NA,NA,NA,NA,NA
65017301,NA,NA,NA,NA,NA,NA,NA
65017401,NA,NA,NA,NA,NA,NA,NA
65017501,NA,NA,NA,NA,NA,NA,NA
65017601,NA,NA,NA,NA,NA,NA,NA
65017701,NA,NA,NA,NA,NA,NA,NA
65017801,NA,NA,NA,NA,NA,NA,NA
65017901,NA,NA,NA,NA,NA,NA,NA
65018001,NA,NA,NA,NA,NA,NA,NA
65018101,NA,NA,NA,NA,NA,NA,NA
65018201,NA,NA,NA,NA,NA,NA,NA
65018301,NA,NA,NA,NA,NA,NA,NA
65018401,NA,NA,NA,NA,NA,NA,NA
65018501,NA,NA,NA,NA,NA,NA,NA
65018601,NA,NA,NA,NA,NA,NA,NA
65018701,NA,NA,NA,NA,NA,NA,NA
65018801,NA,NA,NA,NA,NA,NA,NA
65018901,NA,NA,NA,NA,NA,NA,NA
