bibkey,paper,task,subject,age,gender,choice,r,country,city
Csermely2016,Csermely and Rabas 2016,EG,4,26,0,6,0.9410903336247429,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,5,48,0,3,0.12475503224879504,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,6,27,0,6,1.1180767147336155,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,7,26,0,4,0.44360131295863536,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,8,21,1,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,9,27,0,3,0.21679671383230018,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,10,23,1,5,0.7278882139269263,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,11,25,0,8,1.8055433840677142,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,12,28,1,6,1.1444245473016053,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,13,28,0,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,14,24,1,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,15,57,0,7,1.3229687031172215,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,16,21,0,4,0.5865006676176563,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,17,28,1,6,0.912635406339541,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,18,23,1,5,0.6136565191857517,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,19,22,1,5,0.5967821796098723,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,20,34,0,6,1.0474017604254184,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,21,26,0,6,1.0002612908836452,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,22,26,0,5,0.6106969687715172,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,23,25,1,4,0.45679600715637203,Austria,Vienna
