bibkey,paper,task,subject,choice,r,gender,age,country,soep,dogamble,doinvest,dohealth,doall,treatment,city,longitude,latitude
Frey2017,Frey et al Science Advances 2017,BART,64000401,39.56,0.4473089099954772,1,26,Switzerland,6,1,1,3.5,3.4583333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64004701,63.33,0.9792794185866708,0,24,Switzerland,2,1,1.75,3.625,3.3958333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64006401,35.48,0.38348465196714215,1,24,Switzerland,7,1,1,3.875,3.4583333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64006901,37.86,0.42001331262480585,1,29,Switzerland,2,1.25,2.75,2.875,3.375,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64007901,38.1,0.42380422691879865,0,24,Switzerland,4,1,3,2.5,3.3333333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64008701,50.78,0.6576016576016577,0,30,Switzerland,3,1.75,2.25,1.625,3,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64011501,47.12,0.582591493570722,1,25,Switzerland,7,1.25,1,3.75,3.6458333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64015601,45.72,0.5556635877491493,1,25,Switzerland,6,1,1.75,1.75,2.75,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64016901,35.32,0.3810962451445835,0,27,Switzerland,8,2.5,3.5,2.5,3.8958333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64018301,30.71,0.3156542296227773,1,25,Switzerland,1,1,2,1.625,2.833333333333333,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64020401,59.6,0.871345029239766,0,26,Switzerland,6,1,1,2.75,2.854166666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64020501,27.23,0.27021931130296717,1,27,Switzerland,4,1,1,2.25,3.375,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64021901,29.74,0.3026663952778343,1,25,Switzerland,3,1,1,1.75,3.0208333333333335,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64022901,37.04,0.40721196130167103,1,23,Switzerland,5,1,1,2.125,3.125,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64025601,24.78,0.24006975392365823,0,27,Switzerland,6,1.25,1.75,3,3.4791666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64026901,49.06,0.621484671902711,1,29,Switzerland,3,1,1.5,2.375,2.875,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64027801,50.69,0.6556719699909455,1,24,Switzerland,8,1,1,2.5,3.1041666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64029901,22.11,0.20880158655208234,1,33,Switzerland,1,1,1,2,2.666666666666667,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64031301,25.43,0.24792824412596276,1,24,Switzerland,5,1,1.75,1.125,2.625,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64034901,24.65,0.23850991775520078,1,27,Switzerland,6,1,2,3.5,3.9166666666666665,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64036201,38.21,0.4255485020603631,0,26,Switzerland,7,4.25,3.5,3.125,4.583333333333334,,Basel,7.588576,47.449601
Frey2017,Frey et al Science Advances 2017,BART,64036701,36.14,0.3934247768343131,0,29,Switzerland,7,1,1,2.25,2.770833333333333,,Basel,7.588576,47.449601
