bg.village,unique.id,age,female,education,sufficient.money,a1,a2,a3,a4,a5,consistency,RA,T.R,T.B,T.H,risktime,enumerator.code,RA.all
Ja'en,12608,40,FEMALE,Primary six,YES,1,1,1,1,1,1,5,0,1,0,21,126,5
Ja'en,13105,50,MALE,Primary six,NO,1,1,1,0,0,1,3,0,1,0,16,131,3
Dorayi,11202,70,FEMALE,No Education,NO,1,1,1,1,0,1,4,0,1,0,25,112,4
Dorayi,11001,40,FEMALE,No Education,YES,1,1,0,0,0,1,2,0,0,1,25,110,2
Dorayi,10901,50,MALE,No Education,NO,0,0,0,0,0,1,0,0,0,1,23,109,0
Gidan Maharba,14005,38,MALE,Post-secondary: complete,YES,1,1,1,1,1,1,5,0,0,1,134,140,5
Dorayi,10406,42,FEMALE,JSS 3,YES,1,1,1,0,0,1,3,0,1,0,12,104,3
Dorayi,10703,47,MALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,0,1,0,122,107,3
Gidan Maharba,14106,38,MALE,Primary six,YES,1,1,1,0,0,1,3,1,0,0,12,141,3
Gidan Maharba,13904,38,MALE,SS 3,NO,0,0,0,0,0,1,0,0,0,1,68,139,0
Ja'en,13305,25,FEMALE,SS 3,YES,1,0,0,0,0,1,1,0,0,1,60,133,1
Ja'en,12707,28,FEMALE,SS 3,YES,1,1,0,0,0,1,2,0,1,0,13,127,2
Dorayi,10205,35,MALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,16,102,5
Dorayi,11201,60,MALE,No Education,YES,1,1,1,0,0,1,3,1,0,0,19,112,3
Dorayi,11608,35,FEMALE,JSS 3,YES,1,1,1,0,0,1,3,0,1,0,118,116,3
Dorayi,11304,60,MALE,No Education,NO,0,0,0,0,0,1,0,1,0,0,145,113,0
Gidan Maharba,14208,46,MALE,SS 3,YES,1,1,0,0,0,1,2,0,0,1,12,142,2
Dorayi,11604,38,FEMALE,Primary six,YES,1,1,0,0,0,1,2,0,0,1,146,116,2
Gidan Maharba,13702,40,MALE,SS 3,YES,0,0,0,0,0,1,0,0,1,0,74,137,0
Ja'en,13407,45,FEMALE,No Education,YES,1,1,1,0,0,1,3,1,0,0,10,134,3
Ja'en,11907,45,FEMALE,No Education,YES,1,1,1,1,1,1,5,1,0,0,35,119,5
Ja'en,13102,30,MALE,No Education,NO,1,1,1,0,0,1,3,1,0,0,25,131,3
Dorayi,11301,55,MALE,No Education,YES,1,1,1,0,0,1,3,0,1,0,1,113,3
Dorayi,10304,52,MALE,Primary three,YES,1,1,1,1,1,1,5,1,0,0,86,103,5
Gidan Maharba,14108,45,MALE,SS 3,NO,1,1,1,0,0,1,3,0,1,0,9,141,3
Ja'en,12501,50,MALE,Postgraduate,YES,0,0,0,0,0,1,0,0,1,0,17,125,0
Dorayi,10207,45,MALE,No Education,YES,1,1,1,1,1,1,5,0,0,1,17,102,5
Dorayi,10204,23,FEMALE,SS 3,YES,1,1,1,1,1,1,5,1,0,0,11,102,5
Dorayi,10602,57,MALE,SS 3,YES,1,1,1,1,1,1,5,0,1,0,213,106,5
Gidan Maharba,14001,46,MALE,SS 3,YES,1,1,1,1,1,1,5,0,1,0,477,140,5
Dorayi,10802,43,MALE,Primary: One,YES,1,1,1,1,0,1,4,1,0,0,15,108,4
Ja'en,12802,45,MALE,No Education,NO,1,1,1,1,0,1,4,0,0,1,14,128,4
Dorayi,10905,34,FEMALE,JSS 3,YES,0,0,0,1,1,0,,0,1,0,24,109,2
Dorayi,11807,35,FEMALE,No Education,NO,0,0,0,0,0,1,0,1,0,0,357,118,0
Ja'en,12308,34,MALE,Post-secondary: complete,YES,1,0,0,0,0,1,1,0,0,1,16,123,1
Ja'en,11903,50,MALE,SS 3,YES,1,1,0,0,0,1,2,1,0,0,8,119,2
Gidan Maharba,14308,52,MALE,SS 3,YES,1,0,0,0,0,1,1,0,1,0,19,143,1
Dorayi,11803,40,FEMALE,Primary: Two,YES,1,1,1,0,0,1,3,0,1,0,84,118,3
Dorayi,11508,44,MALE,No Education,YES,0,0,0,0,0,1,0,1,0,0,18,115,0
Ja'en,13306,30,FEMALE,No Education,YES,1,1,1,1,0,1,4,0,0,1,127,133,4
Gidan Maharba,14006,30,FEMALE,JSS 2,YES,1,1,1,1,1,1,5,0,0,1,184,140,5
Gidan Maharba,14506,40,MALE,SS 3,YES,1,1,0,0,0,1,2,0,1,0,136,145,2
Gidan Maharba,13905,42,MALE,SS 3,NO,0,0,0,0,0,1,0,0,1,0,43,139,0
