enumerator_code,id,education,male,T_R,T_B,T_H,a1,a2,a3,a4,a5,RA,risktime,consistency,RA_all,age,sufficient_money,gamma,pay,school_code
7,345,7,0,0,1,0,0,0,0,0,0,0,4.8751974,1,0,24,1,1,1,3
13,346,13,1,0,1,0,1,0,0,0,0,1,4.7874918,1,1,42,1,1,1,3
12,347,16,0,1,0,0,1,0,0,1,0,,5.1929569,0,2,22,1,.67000002,2,3
10,348,10,1,1,0,0,1,1,1,1,0,4,5.0689044,1,4,52,1,1,2,3
4,350,8,0,0,1,0,1,0,1,0,0,,5.4071717,0,2,29,1,.82999998,1,3
5,351,7,0,0,1,0,0,0,0,1,1,,5.1119876,0,2,30,1,0,1,3
3,352,15,1,0,1,0,0,0,0,0,0,0,4.5108595,1,0,46,0,1,1,3
10,353,3,0,0,0,1,1,0,0,0,0,1,5.1929569,1,1,39,0,1,0,3
4,354,7,0,1,0,0,1,1,0,1,0,,5.3936276,0,3,30,0,.82999998,2,3
3,356,1,0,1,0,0,0,0,0,0,0,0,4.6634393,1,0,24,1,1,2,3
13,357,5,0,0,1,0,0,1,1,0,0,,5.8861041,0,2,45,1,.67000002,1,3
6,358,5,0,0,1,0,1,1,0,0,0,2,4.7874918,1,2,32,0,1,1,3
8,361,4,0,1,0,0,0,0,0,0,0,0,5.4071717,1,0,39,1,1,2,3
5,362,13,0,0,1,0,0,0,0,0,0,0,4.8040209,1,0,23,1,1,1,3
4,364,8,0,0,1,0,1,1,0,0,0,2,4.6539602,1,2,23,0,1,1,3
5,365,9,0,0,0,1,1,1,0,0,0,2,5.0998664,1,2,28,1,1,0,3
5,366,7,0,1,0,0,1,1,1,1,0,4,5.1119876,1,4,27,1,1,2,3
6,367,7,0,0,0,1,1,1,0,0,0,2,5.187386,1,2,34,0,1,0,3
12,369,7,0,0,0,1,0,0,0,0,0,0,4.7874918,1,0,42,1,1,0,6
13,370,1,0,0,0,1,1,1,0,0,0,2,5.1929569,1,2,35,0,1,0,3
