"","page","switch","sid","s","hl_1","hl_2","hl_3","hl_4","hl_5","hl_6","hl_7","hl_8","hl_9","hl_10"
"165",172,"9","S2neu-ID-03",9,1,1,1,1,1,1,1,1,0,0
"166",173,"8","S2neu-ID-04",8,1,1,1,1,1,1,1,0,0,0
"167",174,"6","S2neu-ID-05",6,1,1,1,1,1,0,0,0,0,0
"168",175,"10","S2neu-ID-06",10,1,1,1,1,1,1,1,1,1,0
"169",176,"5","S2neu-ID-07",5,1,1,1,1,0,0,0,0,0,0
"170",177,"8","S2neu-ID-08",8,1,1,1,1,1,1,1,0,0,0
"171",178,"7","S2neu-ID-09",7,1,1,1,1,1,1,0,0,0,0
"172",179,"6","S2neu-ID-10",6,1,1,1,1,1,0,0,0,0,0
"173",180,"8","S2neu-ID-11",8,1,1,1,1,1,1,1,0,0,0
"174",181,"6","S2neu-ID-12",6,1,1,1,1,1,0,0,0,0,0
"208",NA,NA,"S2neu-ID-13",NA,1,1,1,1,0,0,1,1,1,0
"175",183,"7","S2neu-ID-14",7,1,1,1,1,1,1,0,0,0,0
"176",184,"8","S2neu-ID-15",8,1,1,1,1,1,1,1,0,0,0
"177",185,"7","S2neu-ID-16",7,1,1,1,1,1,1,0,0,0,0
"178",186,"5","S2neu-ID-17",5,1,1,1,1,0,0,0,0,0,0
"179",187,"9","S2neu-ID-18",9,1,1,1,1,1,1,1,1,0,0
"180",188,"8","S2neu-ID-19",8,1,1,1,1,1,1,1,0,0,0
"181",189,"7","S2neu-ID-20",7,1,1,1,1,1,1,0,0,0,0
"182",190,"6","S3neu-ID-01",6,1,1,1,1,1,0,0,0,0,0
"183",191,"8","S3neu-ID-02",8,1,1,1,1,1,1,1,0,0,0
"184",192,"8","S3neu-ID-03",8,1,1,1,1,1,1,1,0,0,0
"185",193,"8","S3neu-ID-04",8,1,1,1,1,1,1,1,0,0,0
"186",194,"6","S3neu-ID-05",6,1,1,1,1,1,0,0,0,0,0
"187",195,"6","S3neu-ID-06",6,1,1,1,1,1,0,0,0,0,0
"188",196,"6","S3neu-ID-07",6,1,1,1,1,1,0,0,0,0,0
"189",197,"7","S3neu-ID-08",7,1,1,1,1,1,1,0,0,0,0
"190",198,"8","S3neu-ID-09",8,1,1,1,1,1,1,1,0,0,0
"191",199,"7","S3neu-ID-10",7,1,1,1,1,1,1,0,0,0,0
"192",200,"8","S3neu-ID-11",8,1,1,1,1,1,1,1,0,0,0
"193",201,"9","S3neu-ID-12",9,1,1,1,1,1,1,1,1,0,0
"194",202,"9","S3neu-ID-13",9,1,1,1,1,1,1,1,1,0,0
"195",203,"6","S3neu-ID-14",6,1,1,1,1,1,0,0,0,0,0
"196",204,"8","S3neu-ID-15",8,1,1,1,1,1,1,1,0,0,0
"209",NA,NA,"S3neu-ID-16",NA,1,1,1,0,0,1,0,1,0,0
"197",206,"8","S3neu-ID-17",8,1,1,1,1,1,1,1,0,0,0
"198",207,"5","S3neu-ID-18",5,1,1,1,1,0,0,0,0,0,0
"199",208,"9","S3neu-ID-19",9,1,1,1,1,1,1,1,1,0,0
"200",209,"8","S3neu-ID-20",8,1,1,1,1,1,1,1,0,0,0
