bibkey,paper,task,subject,choice,r,soep,soep_financial,country,city,longitude,lattitude
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110211,20,1.52,5,7,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110801,19,1.4178771601617337,5,3,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110803,18,1.3251887800125406,0,0,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110805,15,0.9429880295763724,2,4,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110806,19,1.507907089702785,6,5,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110809,17,1.1362645036168397,8,10,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110810,10,0.6189899638853967,5,5,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110811,20,1.52,5,5,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401110813,15,0.9275173373427242,7,6,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130101,18,1.3356182610290126,0,0,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130102,19,1.4602126904204489,0,0,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130103,19,1.3915586593002083,5,5,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130104,18,1.2928393597295509,8,5,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130105,18,1.3349748158361763,5,5,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130110,3,0.263959128158167,4,10,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130111,1,-0.33299819752573967,7,3,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130113,19,1.4486136979982258,10,10,Thailand,Ubon Ratchathani,104.856117,15.229730
Menkhoff_Sakha_2017,Menkhoff and Sakha 2017,CEPL,3401130901,20,1.52,8,10,Thailand,Ubon Ratchathani,104.856117,15.229730
